"%s is required.","%s is verplicht"
"Action","actie"
"Add Catalog Event","voeg catalogus gebeurtenis toe"
"Add Event...","voeg gebeurtenis toe"
"An error occurred while saving this event.","Er is een fout opgetreden bij het opslaan van deze gebeurtenis"
"Back to Category","Terug naar categorie"
"Block Custom Width","Blokkeer aangepaste breedte"
"Catalog","Catalogus"
"Catalog Event Information","Catalogus-gebeurtenis informatie"
"Catalog Events","Catalogus-gebeurtenissen"
"Catalog Events Carousel","Carousel van catalogus-gebeurtenissen"
"Catalog Events Carousel Default Template","Normale template van de carousel van catalogus-gebeurtenissen"
"Categories","Categorieën"
"Category","categorie"
"Category ID","Categorie ID"
"Category Page","Categorie pagina"
"Closed","Gesloten"
"Coming Soon","Komt spoedig"
"Default Values","standaardwaarden"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Standaardwaarde. In CMS vervangen met limiet=""x"" variabele. Wanneer leeg, dan geen limiet."
"Default value. Override in CMS using scroll=""x"" variable.","Standaardwaarde. In CMS vervangen met scroll=""x"" variabele."
"Display Countdown Ticker On","Weergave afteller aan"
"Edit","Bewerk"
"Edit Catalog Event","Bewerk catalogus gebeurtenis"
"Edit Event...","Bewerk gebeurtenis"
"Enable Catalog Event Widget on the Frontend","Stel catalogus gebeurtenis-widget aan de voorkant aan"
"Enable Catalog Events Functionality","Stel catalogus-gebeurtenissen functionaliteit aan"
"End Date","einddatum"
"End date should be greater than start date.","einddatum moet groter zijn dan begindatum"
"Ends On","einde eerst"
"Event for selected category","gebeurtenis voor geselecteerde categorie"
"Event has been deleted.","gebeurtenis is verwijderd"
"Event has been saved.","gebeurtenis is opgeslagen"
"Events","gebeurtenissen"
"Events to Scroll per Click in Event Slider Widget","gebeurtenissen om te scroller per klik in gebeurtenissen slider widget"
"Frame Size","frame grootte"
"Go To Sale","ga naar verkoop"
"ID","identiteit"
"Image","afbeelding"
"Image was not uploaded.","afbeelding is niet geladen"
"List all open Catalog Events as a Paginated Carousel","lijst-weergave open catalogus als een geïndexeerde carousel"
"Lister Block","lijst blokkade"
"Manage Catalog Events","houdt catalogus gebeurtenissen bij"
"New Event","nieuwe gebeurtenis"
"Number of Events to be Displayed in Event Slider Widget","aantal gebeurtenissen dat moet worden weergegeven in gebeurtenissen slider widget"
"Number of Items to display at once","aantal dingen dat tegelijkertijd wordt weergegeven"
"Number of Items to scroll per click","aantal dingen dat scrollt per klik"
"Open","open"
"Preview Sale","zie verkoop in"
"Product Page","productpagina"
"Sale Ends In","verkoop eindigt in"
"Sale was closed for this product.","verkoop voor dit product is gesloten"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Scroll","scroll"
"Select Category","selecteer categorie"
"Some products are not salable anymore.","sommige producten zijn niet meer verkoopbaar"
"Sort Order","sorteer volgorde"
"Start Date","begindatum"
"Starts On","begint op"
"Status","status"
"Upcoming","aankomend"
"Use Default Value","gebruik standaardwaarde"
"View Sale","zie verkoop in"
"Width in Pixels. If empty, will be determined automatically","Breedte in pixels. Indien leeggelaten, zal het automatisch worden gedetermineerd."
