"(Allow)","(toestaan)"
"(Config)","(configureer)"
"(Deny)","(weiger)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Waarschuwing!</strong> De standaardinstelling van deze functie beperkt alle categorieën."
"A permission with the same scope already exists.","Een toestemming op hetzelfde bereik bestaat reeds"
"Add to Cart","Voeg toe aan winkelwagen"
"Allow Adding to Cart","Toestaan om aan winkelwagen toe te voegen"
"Allow Browsing Category","Toestaan om categorie te bekijken"
"Browsing Category","Categorie doorbladeren"
"Category Permissions","Categorie toestemmingen"
"Category Permissions Section","Categorie toestemmingsectie"
"Customer Groups","Klantengroepen"
"Disallow Catalog Search By","Weiger catalogus zoekfunctie"
"Display Product Prices","Geef productprijzen weer"
"Enable","Stel in werking"
"Landing Page","Landingspagina"
"New Permission","Nieuwe toestemming"
"No","Nee"
"No, Redirect to Landing Page","Nee, stuur door naar landingspagina"
"Permission with the same scope","Toestemming op hetzelfde bereik"
"Remove Permission","Verwijder toestemming"
"Yes, for Everyone","Ja, voor iedereen"
"Yes, for Specified Customer Groups","Ja, voor gespecificeerde klantengroepen"
