"Access denied.","Toegang geweigerd"
"Action","actie"
"Add Products","producten toevoegen"
"Add Selected Product(s) to Shopping Cart","voeg geselecteerde producten toe aan winkelwagen"
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"Apply","Invullen"
"Apply Coupon Code","Vul couponcode in"
"Cancel","annuleren"
"Choose some products to add to shopping cart.","Kies een aantal producten om aan uw winkelwagen toe te voegen."
"Coupon code ""%s"" is not valid","Kortingscode ""%s"" is niet geldig"
"Customer not found","klant niet gevonden"
"Customers","klanten"
"Discount","korting"
"Excl. Tax","exclusief btw"
"Failed to add a product of order item","Niet gelukt om een product toe te voegen van het bestelde item"
"Failed to reorder item","niet gelukt om item opnieuw te bestellen"
"ID","identiteit"
"Incl. Tax","inclusief btw"
"Invalid block: %s.","Ongeldig blok: %s"
"Last ordered items (%s)","laatst bestelde items"
"Manage Customers","manage klanten"
"Manage Shopping Cart","manage winkelwagen"
"Move to Wishlist","ga naar verlanglijstje"
"No ordered items","geen bestelde items"
"Ordered item id is not received.","I.D. van het bestelde product is niet ontvangen."
"Ordered item is not loaded.","Bestelde product is niet geladen."
"Price","prijs"
"Product","product"
"Product Name","productnaam"
"Product name","Productnaam"
"Products","producten"
"Products in the Comparison List (%s)","producten in de vergelijkingslijst"
"Qty","hoeveelheid"
"Qty To Add","hoeveelheid om toe te voegen"
"Quote item id is not received.","I.D. van het quote product is niet ontvangen."
"Quote item is not loaded.","Quote product is niet geladen."
"Recently Compared Products (%s)","recent vergeleken producten"
"Recently Viewed Products (%s)","recent bekeken producten"
"Remove","weghalen"
"Remove Coupon Code","haal couponcode weg"
"Row Subtotal","rij van het subtotaal"
"SKU","stock keeping unit"
"Shopping Cart","winkelwagen"
"Shopping Cart Items","items in winkelwagen"
"Shopping Cart Management","manage winkelwagen"
"Shopping Cart for %s in %s","winkelwagen voor ... in ...."
"Shopping cart management disabled for this customer.","winkelwagen management uitgeschakeld voor deze klant"
"Store not found.","Winkel niet gevonden"
"Subtotal","subtotaal"
"Subtotal:","subtotaal"
"Total","totaal"
"Total %d product(s)","totaal ... producten"
"Total incl. tax","totaal inclusief btw"
"Update Items and Qty's","aanpassen items en hoeveelheden"
"View Shopping Cart","kijk in winkelwagen"
"View and modify Shopping Cart","bekijk en pas de winkelwagen aan"
"Wishlist (%s)","verlanglijstje"
"Wishlist item id is not received.","I.D. van het verlanglijst product is niet ontvangen."
"Wishlist item is not loaded.","Verlanglijst product is niet geladen."
