"%s; rev #%s","%s; rev #%s"
"Access Level","bereikbaarheidsniveau"
"Add Node...","Schrijf bericht..."
"Add Selected Page(s) to Tree","Voeg geselecteerde pagina's toe aan Boom"
"Add To Tree","Voeg toe aan Boom"
"An error occurred while deleting revisions.","Er is een fout opgetreden toen de modificaties verwijderd werden"
"An error occurred while deleting the revision.","Er is een fout opgetreden toen de modificatie verwijderd werd"
"An error occurred while deleting the version.","Er is een fout opgetreden toen de versie verwijderd werd"
"An error occurred while deleting versions.","Er is een fout opgetreden toen de versies verwijderd werden"
"Anchor Custom Text","Zet eigen tekst vast"
"Anchor Custom Title","Zet eigen titel vast"
"Are you sure you want to break current lock?","Weet u zeker dat u het huidige slot wilt breken?"
"Are you sure you want to delete this revision?","Weet u zeker dat u deze modificatie wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Author","Auteur"
"Author:","Auteur:"
"CMS","CMS"
"CMS Content Wrapper","CMS Inhoud Aanpasser"
"CMS Hierarchy","CMS hiërarchie"
"CMS Hierarchy Node Link","CMS hiërarchie node link"
"CMS Home Page","CMS thuispagina"
"CMS No-Route Page","CMS geen-route pagina"
"CMS Page Default Versioning","CMS pagina met gebruikelijke versie"
"CMS Page Hierarchy","CMS pagina hiërarchie"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"CMS Page Trees","CMS pagina bomen"
"CMS Pages","CMS pagina's"
"CMS Pages (All)","CMS pagina's (allemaal)"
"CMS Versioning","CMS versies"
"Cancel","annuleren"
"Cannot change version access level because it is the last public version for its page.","Het bereikbaarheidslevel kan niet worden veranderd, omdat het de laatst beschikbare publieke versie is voor deze pagina."
"Cannot change version access level because its revision is published.","Het bereikbaarheidslevel kan niet worden veranderd, omdat de modificatie is gepubliceerd."
"Chapter/Section","Hoofdstuk/sectie"
"Choose Revision","Kies modificatie"
"Choose Store View","Kies winkelweergave"
"Circle","Cirkel"
"Content","inhoud"
"Could not load specified revision.","De gespecificeerde modificatie kon niet worden geladen."
"Could not load specified version.","De gespecificeerde versie kon niet worden geladen."
"Created","Gemaakt"
"Created At","Gemaakt op"
"Created:","Gemaakt:"
"Current Modification","Huidige modificatie"
"Currently Published Revision","Huidig gepubliceerde modificatie"
"Default","Normaal"
"Default Layout for Hierarchy Menu","Normale layout voor het hiërarchie menu"
"Delete","weghalen"
"Delete Revision and Version","Verwijder modificatie en versie"
"Disabled by Default","Uitgeschakeld door normaal"
"Disc","Disc"
"Edit Page '%s' New Revision","Bewerk pagina's '%s' nieuwe modificatie"
"Edit Page '%s' Revision #%s","Bewerk pagina's '%s' nieuwe modificatie #%s"
"Edit Page '%s' Version '%s'","Bewerk pagina's '%s' Versie '%s'"
"Edit Revision","Bewerk modificatie"
"Edit Version","Bewerk versie"
"Enable Chapter/Section","Bewerk hoofdstuk/sectie"
"Enable Hierarchy Functionality","Stel hiërarchie functionaliteit in werking"
"Enable Hierarchy Metadata","Stel hiërarchie metadata in werking"
"Enable Navigation Menu","Stel navigatiemenu in werking"
"Enable Pagination","Stel paginatie in werking"
"Enabled by Default","Aangesteld door normaal"
"Error in saving hierarchy.","Fout bij het opslaan van hiërarchie."
"Exclude from Navigation Menu","Uitsluiten van Navigatie Menu"
"First","Eerste"
"Frame","Beeld"
"Frame Skip","Beeld Overslaan"
"Hierarchy","Hiërarchie"
"Hierarchy Page Lock Timeout (seconds)","Hiërarchie Pagina Slot Time-out (seconden)"
"How many Links to display at once","Hoeveel Links per keer laten zien"
"If empty, will use the Node or Page Name","Als het leeg is, zal het de Node of Pagina Naam gebruiken"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Als de huidige beeldpositie niet het grootste deel van de pagina in beslag neemt, zal het de Link naar de huidige positie plus of min dit bedrag weergeven."
"Invalid node data.","Ongeldige node gegevens."
"Label for version is a required field.","Label voor de versie is een vereist veld."
"Left Column","linker kolom"
"Link to Specified CMS Hierarchy Node","Link naar gespecificeerde CMS Hiërarchie Node"
"List Style","Lijststijl"
"List Type","Lijst Type"
"Lower Alpha (a, b, c, ...)","Lagere Alfanumeriek (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Lagere Romeinse Cijfers (i, ii, iii, ...)"
"Manage Content","Beheer Inhoud"
"Manage Hierarchy","Beheer Hiërarchie"
"Manage Pages Hierarchy","Beheer Pagina Hiërarchie"
"Maximal Depth","Maximale Diepte"
"Menu Detalization","Menu Detalization"
"Menu Layout","Menu Opmaak"
"N/A","n.v.t."
"Navigation Menu Options","Navigatie Menu Opties"
"Neighbours and Children","Buren en Kinderen"
"New Page","Nieuwe Pagina"
"New Revision","Nieuwe Correctie"
"New Revision...","Nieuwe Correctie..."
"Next","Volgende"
"Next/Previous","Volgende/Vorige"
"No","Nee"
"No Nodes available","Geen Knooppunten verkrijgbaar"
"No preview available","Geen voorbeeld verkrijgbaar"
"Node","Knooppunt"
"Node Levels to Include","Knooppunt levels om mee te tellen"
"Node Properties","Knooppunt Eigenschappen"
"Node with same URL Key already exists.","Knooppunt met zelfde URL KEY bestaat al."
"Numbers (1, 2, 3, ...)","Nummers (1, 2, 3, ...)"
"Only Children","Alleen Kinderen"
"Ordered","Bestelt"
"Owner","Eigenaar"
"Page ID","Pagina ID"
"Page Properties","Pagina Eigenschappen"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","Pagina slot vervalt in 60 seconden. Sla veranderingen op om mogelijk data verlies te voorkomen."
"Page:","Pagina:"
"Pages","Pagina's"
"Pages Hierarchy","Pagina Hiërarchie"
"Pagination Options for Nested Pages","Paginerings Opties voor in elkaar passende pagina's"
"Please select revision(s).","Selecteer alstublieft de herziening(en)."
"Please select version(s).","Selecteer alstublieft de versie(s)."
"Preview","Voorbeeld"
"Previous","Vorige"
"Private","Privé"
"Protected","Beschermd"
"Public","Openbare"
"Publish","Publiceren"
"Publish Revision","Publiceer Herziening"
"Published","Gepubliceerd"
"Published Revision Unavailable","Gepubliceerde Herziening Niet Beschikbaar"
"Remove From Tree","Verwijder van boom"
"Render Metadata in HTML Head","Geef Metadata weer in HTML Hoofd"
"Revision #","Herziening #"
"Revision #%s","Herziening #%s"
"Revision #%s could not be removed because it is published.","Herziening #%s kon niet verwijdert worden want hij is gepubliceerd."
"Revision Information","Herzienings Informatie"
"Revisions Qty","Herzienings Qty"
"Right Column","rechter kolom"
"Root","Wortel"
"Save","Sla op"
"Save Pages Hierarchy","Sla paginahiërarchie op"
"Save Revision and Version","Sla modificatie en versie op"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Save and Publish","Sla op en publiceer"
"Save as New Version","Sla op als nieuwe versie"
"Save in New Version...","Sla op in nieuwe versie..."
"Select Page or Node...","Selecteer pagina of node..."
"Specify New Version Name (required)","Specificeer nieuwe versie naam (verplicht)"
"Square","Vierkant"
"Template","Template"
"The hierarchy has been saved.","De hiërarchie is opgeslagen"
"The new version has been created.","De nieuwe versie is gecreëerd"
