"* Required Fields","* Vereiste Velden"
"-- Please Select --","-- Selecteer Alstublieft --"
"Account Information","Account Gegevens"
"Add New Address","Adres Toevoegen"
"Add New Attribute","Nieuw Object Toevoegen"
"Additional Address Entries","Additionele Adresgegevens"
"Address","Adres"
"Address Book","Adresboek"
"Address Information","Adres Gegevens"
"All Themes","Alle Thema's"
"An error occurred while deleting the customer address attribute.","Er is een fout opgetreden tijdens het verwijderen van de klant adresgegevens."
"An error occurred while deleting the customer attribute.","Er is een fout opgetreden tijdens het verwijderen van de klanten eigenschappen."
"An error occurred while deleting the form type.","Er is een fout opgetreden tijdens het verwijderen van de vormtype."
"An error occurred while saving the customer address attribute.","Er is een fout opgetreden tijdens het opslaan van de klant adresgegevens."
"An error occurred while saving the customer attribute.","Er is een fout opgetreden tijdens het opslaan van de klanten eigenschappen."
"An error occurred while saving the form type.","Er is een fout opgetreden tijdens het opslaan van het vormtype."
"Are you sure you want to delete this address?","Weet u zeker dat u het adres wilt verwijderen?"
"Attribute Information","Attribuut Informatie"
"Attribute is no longer exists.","Attribuut bestaat niet meer."
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al."
"Attributes","Attributen"
"Back","Terug"
"Back to Login","Terug naar Login scherm"
"Based On","Gebaseerd Op"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door het creëren van een account bent u instaat om sneller door het afreken proces heen te komen, meerdere verzendadressen op te geven, en kunt u uw orders nakijken, bijhouden en meer."
"Cancel","annuleren"
"Change Billing Address","Verander Factuuradres"
"Change Password","Wachtwoord Veranderen"
"Change Shipping Address","Verzendadres wijzigen"
"City","Stad"
"Comma separated","Komma Gescheiden"
"Company","Bedrijf"
"Confirm New Password","Bevestig Nieuw Wachtwoord"
"Confirm Password","Bevestig Wachtwoord"
"Contact Information","Contactgegevens"
"Country","Land"
"Create an Account","Creëer een Account"
"Current Password","Huidig Wachtwoord"
"Customer","Klant"
"Customer Account Edit Form","Klanten Account Wijzigingsformulier"
"Customer Account Login Form","Klanten Account Login Formulier"
"Customer Account Logout Success","Klanten Account Succesvol Uitgelogd"
"Customer Account Registration Form","Klanten Account Registratie Formulier"
"Customer Forgot Password Form","Klant Vergeten Wachtwoord Formulier"
"Customer My Account (All Pages)","Klant Mijn Account (Alle Pagina's)"
"Customer My Account Address Book","Klant Mijn Account Adresboek"
"Customer My Account Address Edit Form","Klant Mijn Account Adreswijzigingsformulier"
"Customer My Account Dashboard","Klant Mijn Account Dashboard"
"DD","DD"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Default Addresses","Standaard adres"
"Default Billing Address","Standaard Facturatie Adres"
"Default Shipping Address","Standaard Verzendadres"
"Default Values","standaardwaarden"
"Delete Address","Verwijder adres"
"Delete Attribute","Verwijder attribuut"
"Edit","Bewerk"
"Edit Account Information","Bewerk rekening informatie"
"Edit Address","Bewerk adres"
"Edit Address Entry","Bewerk adres invoer"
"Edit Customer Address Attribute","Bewerk klant adres attribuut"
"Edit Customer Address Attribute ""%s""","Klanten Adres Attribuut Bewerken ""%s"""
"Edit Customer Attribute","Bewerk klant attribuut"
"Edit Customer Attribute ""%s""","Klanten Attribuut Bewerken ""%s"""
"Edit Form Type ""%s""","Formulier Type Bewerken ""%s"""
"Edit Newsletters","Bewerk nieuwsbrieven"
"Email Address","E-mail adres"
"Fax","Fax"
"File Extensions","Bestandstypen"
"For Theme","voor thema"
"Forgot Your Password?","Paswoord vergeten?"
"Form Code","formulier code"
"Form Fields Before","Formulier Velden Voor"
"Form Label","formulier label"
"Form Title","formulier titel"
"Form Type Code","formulier type code"
"Form Type Information","formulier type informatie"
"Form type has been deleted.","formulier type is verwijderd"
"Forms to Use In","formulieren om te gebruiken in"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanaf mijn rekening dashboard heeft u de mogelijkheid om een kleine weergave van uw recente activiteit te bekijken en uw rekeninginformatie te bewerken. Selecteer een link beneden om informatie te bekijken of te bewerken"
"Frontend Properties","Voorkant waarden"
"General","Normaal"
