"Active","Actief"
"Add Segment","Voeg segment toe"
"Address Attributes","Adres eigenschappen"
"Address Type","Adrestype"
"Any","elk"
"Assigned to Website","Website toewijziging"
"Average","Gemiddeld"
"Back","Terug"
"Billing","Facturatie"
"CSV","CSV"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaardencombinatie"
"Country","Land"
"Customer","Klant"
"Customer %s","Klant %s"
"Customer Address","Klantadres"
"Customer Address %s","Klantadres %s"
"Customer Segment","Klantsegment"
"Customer Segment Report","Klantsegment Rapport"
"Customer Segment Report \'%s\'","Klantsegment Rapport '%s'"
"Customer Segment data has been refreshed.","Klantsegment gegevens zijn geactualiseerd"
"Customer Segments","klanten segmenten"
"Customer Segments Report","Klantsegmenten Rapport"
"Customer Since","Klant Sinds"
"Customer Store Credit Amount %s %s:","Totaal Winkeltegoed Klant %s %s:"
"Customer is %s to newsletter.","Klant is %s voor nieuwsbrief"
"Customers","klanten"
"Date Range","Datum Reeks"
"Date Ranges","Datum Reeksen"
"Default Address","Standaard Adres"
"Delete","weghalen"
"Description","Omschrijving"
"Details","Details"
"Edit Segment","Bewerk Segment"
"Edit Segment '%s'","Bewerk Segment '%s'"
"Email","E-mail"
"Enable Customer Segment Functionality","Activeer Klantsegment Functionaliteit"
"Excel XML","Excel XML"
"General Properties","Algemene Kenmerken"
"Gift Card","Cadeaubon"
"Grand Total","Groot Totaal"
"Group","Groep"
"Has State/Province","Heeft Staat/Provincie"
"ID","identiteit"
"If Customer Address %s State/Province specified","Als Klantenadres %s Staat/Provincie gespecificeerd"
"Inactive","Inactief"
"Intersection","Intersectie"
"Manage Segments","Beheer Segmenten"
"Matched %d Customers of Segment %s","%d Overeenkomende Klanten van het Segment %s"
"Matched Customers (%d)","Overeenkomende Klanten (%d)"
"Name","Naam"
"New Segment","Nieuw Segment"
"Newsletter Subscription","inschrijving op nieuwsbrief"
"Number of Cart Line Items","Hoeveelheid Producten in de Winkelwagen"
"Number of Customers","Aantal Klanten"
"Number of Orders","Aantal Bestellingen"
"Order Address","Bestellingsadres"
"Order Address %s","Bestellingsadres %s"
"Order Address Attributes","Kenmerken van het Bestellingsadres"
"Order Status","Bestelling Status"
"Product %s","Product %s"
"Product Attributes","Product Kenmerken"
"Product History","Product Geschiedenis"
"Product List","Product Lijst"
"Products","producten"
"Products Quantity","Producten Aantal"
"Purchased Quantity","Aangeschafte Hoeveelheid"
"Refresh Segment Data","Verversen Segment Data"
"Reports","Rapporten"
"Sales","Verkoop"
"Sales Amount","Verkocht Bedrag"
"Save","Sla op"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Segment Customers matching error.","Segment Klanten overeenkomsten fout."
"Segment Information","Segment Informatie"
"Segment Name","Segment Naam"
"Segments","Segmenten"
"Set","Stel (noun) / Bevestigd / Vastgelegd"
"Shipping","Transport"
"Shopping Cart","winkelwagen"
"Shopping Cart Total","Winkelwagen Totaal"
"State/Province","staat/provincie"
"Status","status"
"Store Credit","winkelcrediet"
"Subtotal","subtotaal"
"Tax","Belasting"
"Telephone","telefoon"
"The segment has been deleted.","Dit segment is verwijderd."
"The segment has been saved.","Dit segment is opgeslagen."
"Total","totaal"
"Unable to delete the segment.","Verwijderen segment niet mogelijk"
"Unable to save the segment.","Opslaan segment niet mogelijk."
"Union","Organisatie"
"Unknown operator specified.","Opgegeven operator onbekend."
"Unknown quote total specified.","Opgegeven totaal prijsopgave onbekend"
"Up To Date","Actueel"
"Use in Customer Segment","In Klanten Segment Gebruiken"
"View Combined Report","Gecombineerd Rapport Inzien"
"Viewing combined ""%s"" report from segments: %s","Gecombineerd ""%s"" rapport van segmenten %s aan het bekijken"
"Viewing combined ""%s"" report from segments: %s.","Bekijk gecombineerde ""%s"" rapport van segmenten: %s"
"Website","Website"
"Wishlist","Verlanglijst"
"Wrong customer segment requested.","Verkeerd klanten segment opgevraagd."
"ZIP","Postcode"
"does not exist","bestaat niet"
"does not have","bevat geen"
"does not match","komt niet overeen"
"exists","bestaat"
"has","heeft (in andere context: bevat)"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"matches","komt overeen"
"not subscribed","niet geabonneerd"
"ordered","bestels"
"subscribed","geabonneerd"
"viewed","bekeken"
