"Alpha Only","Allen Letters"
"Alphanumeric","Alfanumeriek"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuutcode is ongeldig. Gebruik alleen letter (a-z) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Current module XML block name is undefined","Huidige module XML block name is niet gedefinieerd."
"Current module form model pathname is undefined","Huidige module vorm model padnaam is niet gedefinieerd"
"Date","Datum"
"Default EAV Form","Standaard EAV Vorm"
"Dropdown","Dropdown"
"Email","Email"
"Escape HTML Entities","Escape HTML Eenheden"
"File (attachment)","Bestand (bijlage)"
"Image File","Afbeelding Bestand"
"Multiple Line","Multiple Lijn"
"Multiple Select","Multiple Selecteer"
"No","Nee"
"Normalize Date","Normaliseer Datum"
"Numeric Only","Alleen Cijfers"
"Strip HTML Tags","Strip HTML Tags"
"Text Area","Tekstgebied"
"Text Field","Tekstveld"
"URL","URL"
"Use helper with defined EAV entity","Gebruik helper met gedefinieerde EAV entiteit"
"Yes","Ja"
"Yes/No","Ja/Nee"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKEL OVERZICHT]"
"[WEBSITE]","[WEBSITE]"
