"Action","Actie"
"Add Gift Wrapping","Cadeaupapier toevoegen"
"Add Printed Card","Geprint Kaartje Toevoegen"
"Allow Gift Receipt","Cadeau Bon Toestaan"
"Allow Gift Wrapping for Order Items","Cadeauverpakking toestaan voor bestelde producten"
"Allow Gift Wrapping on Order Level","Cadeauverpakking toestaan op bestellingsniveau"
"Allow Printed Card","Geprint kaartje toestaan"
"An error occurred while updating the wrapping(s) status.","Een fout is opgetreden tijdens het vernieuwen van de verpakking-status"
"Are you sure you want to delete the selected gift wrappings?","Weet u zeker dat u de geselecteerde cadeauverpakking wilt annuleren?"
"Are you sure you want to delete this gift wrapping?","Weet u zeker dat u de cadeauverpakking wilt verwijderen?"
"Change status","Verander status"
"Default Price for Printed Card","Standaard prijs voor geprinte kaartjes"
"Delete","Verwijderen"
"Design","Ontwerp"
"Disabled","Uitgeschakeld"
"Display Gift Wrapping Prices","Prijzen van cadeauverpakkingen weergeven"
"Display Printed Card Prices","Geprinte kaartjes prijzen weergeven"
"Edit","Bewerken"
"Edit Gift Wrapping ""%s""","Cadeauverpakking bewerken ""%s"""
"Enabled","Aan"
"Excl. Tax","Excl. BTW"
"Failed to save gift wrapping.","Cadeauverpakking opslaan mislukt"
"Gift Wrapping","Cadeauservice"
"Gift Wrapping Design","Cadeaupapier ontwerp"
"Gift Wrapping Information","Cadeauservice informatie"
"Gift Wrapping for Items","Cadeaupapier voor artikelen"
"Gift Wrapping for Items (Excl. Tax)","Cadeauverpakking voor artikelen (excl. BTW)"
"Gift Wrapping for Items (Incl. Tax)","Cadeauverpakking voor artikelen (incl. BTW)"
"Gift Wrapping for Order","Cadeauverpakking voor bestelling"
"Gift Wrapping for Order (Excl. Tax)","Cadeauverpakking voor bestelling (excl. BTW)"
"Gift Wrapping for Order (Incl. Tax)","Cadeauverpakking voor bestelling (incl. BTW)"
"Gift Wrapping for the Entire Order","Cadeauverpakking voor gehele bestelling"
"ID","ID"
"Image","Beeld"
"Image has not been uploaded.","Beeld is niet ge-upload."
"Image was not uploaded.","Beeld was niet ge-upload."
"Incl. Tax","Incl. BTW"
"Manage Gift Wrapping","Cadeauverpakking beheren"
"New Gift Wrapping","Nieuwe cadeauverpakking"
"Please select","Selecteer"
"Please select items.","Selecteer artikelen."
"Price","Prijs"
"Price Excl. Tax","Prijs excl. BTW"
"Price Incl. Tax","Prijs incl. BTW"
"Printed Card","Gedrukte kaart"
"Printed Card (Excl. Tax)","Gedrukte kaart (excl. BTW)"
"Printed Card (Incl. Tax)","Gedrukte kaart (incl. BTW)"
"Sales","Verkoop"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Send Gift Receipt","Stuur betaalbewijs cadeau"
"Status","Status"
"Tax Class for Gift Options","Opties belastingklasse voor cadeau"
"The gift wrapping has been deleted.","De cadeauverpakking is verwijderd."
"The gift wrapping has been saved.","De cadeauverpakking is opgeslagen."
"Total of %d record(s) have been deleted.","Er zijn in totaal %d dossier(s) verwijderd"
"Total of %d record(s) have been updated.","Er zijn in totaal %d dossier(s) bijgewerkt"
"Upload File","Bestand uploaden"
"Use Default Value","Standaardwaarde gebruiken"
"Websites","Websites"
"Wrong gift wrapping requested.","Verkeerde cadeauverpakking gevraagd."
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","U kunt een veld leeglaten als u geen cadeauverpakking voor de hele bestelling wenst"
