"%1$d of %2$d invitations were discarded.","%1$d van %2$d uitnodigingen zijn verwijderd."
"%1$d of %2$d invitations were sent.","%1$d van %2$d uitnodigingen zijn verzonden."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d uitnodinging(en) konden niet worden verzonden, omdat de klant reeds bestaat voor deze e-mails. Deze uitnodigingen zijn verwijderd."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d uitnodiging(en) zijn niet verzonden, omdat de klant reeds bestaat voor gespecificeerde e-mail adressen."
"%d invitation(s) were sent.","%d uitnodiging(en) zijn verzonden."
"%d of selected invitation(s) were skipped.","%d van geselecteerde uitnodiging(en) zijn overgeslagen."
"* Required Fields","* Vereiste Velden"
"Acceptance Rate","Acceptatieratio"
"Accepted","Geaccepteerd"
"Accepted and Purchased","Geaccepteerd en gekocht"
"Add Invitations","Voeg uitnodigingen toe"
"Admin","Beheerder"
"Allow Customers to Add Custom Message to Invitation Email","Sta klanten toe om eigen bericht aan uitnodigingsmail toe te voegen"
"Are you sure you want to discard this invitation?","Weet u zeker dat u deze uitnodiging wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Available to All","Beschikbaar voor iedereen"
"Back","Terug"
"Back to Invitations","Terug naar uitnodigingen"
"By Invitation Only","Alleen op uitnodiging"
"CSV","CSV"
"Conversion Rate","Wisselkoers"
"Customer Account Registration by Invitation Form","Klant rekening registratie door uitnodigingsformulier"
"Customer Group","Klantgroep"
"Customer ID","Klant ID"
"Customer Invitation","Klant uitnodiging"
"Customer Invitation Email Sender","Klant uitnodigings e-mail afzender"
"Customer Invitation Email Template","Klant uitnodigings e-mail template"
"Customer Invitations","Klant-uitnodigingen"
"Customer My Account Invitations Form","Klant mijn rekening uitnodigingen formulier"
"Customer My Account Invitations List","Klant mijn rekening uitnodigingen lijst"
"Customer with email ""%s"" already exists.","Klant met email ""%s"" bestaat al."
"Customers","klanten"
"Default Customer Group from System Configuration","Standaard klantgroep van systeem configuratie"
"Default from System Configuration","Standaard vanaf systeem configuratie"
"Discard Invitation","Verwijder uitnodiging"
"Discard Rate","Verwijder ratio"
"Discard Selected","Verwijder geselecteerde"
"Discarded","Verwijderd"
"Email","E-mail"
"Email is not specified.","E-mail is niet gespecificeerd"
"Enable Invitations Functionality","E-mail uitnodigingen functionaliteit"
"Enable Invitations on Frontend","Stel uitnodigingen aan voorkant beschikbaar"
"Enter Each Email on New Line","Vul elke e-mail op nieuwe regel in"
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","Mislukt om %1$d van %2$d uitnodiging(en) te verzenden"
"Failed to send %d invitation(s).","Mislukt om %d uitnodiging(en) te verzenden."
"Failed to send email to %s.","Mislukt om e-mail te verzenden aan %s."
"First Name","Voornaam"
"General","Normaal"
"General Report","Algemeen rapport"
"Group","Groep"
"ID","identiteit"
"Invalid invitation code.","Onjuiste uitnodigingscode."
"Invalid invitation email.","Onjuiste uitnodigings e-mail"
"Invalid or empty invitation email.","Onjuiste of lege uitnodigings e-mail"
"Invalid value used for ""%s"" parameter. Previous value saved.","Ongeldige waarde ingevoerd voor ""%s"" parameter. Vorige waarde opgeslagen."
"Invitation Form Before","Uitnodigingsformulier voorheen"
"Invitation Information","Uitnodigingsinformatie"
"Invitation List Before","Uitnodigingslijst voorheen"
"Invitation Message","Uitnodigingsbericht"
"Invitation Report by Customers","Uitnodigingsrapport door klanten"
"Invitation Report by Order Conversion Rate","Uitnodigingsrapport door bestelling wisselkoers"
"Invitation Section","Uitnodigings sectie"
"Invitation Url","Uitnodigings-URL"
"Invitation for %s has been sent.","Uitnodiging aan %s is verzonden."
"Invitation has no ID.","Uitnodiging heeft geen ID."
"Invitation not found.","uitnodiging niet gevonden"
"Invitation with status ""%s"" cannot be sent.","Uitnodiging met status ""%s"" kan niet verzonden worden."
"Invitations","uitnodigingen"
"Invitations Accepted","uitnodigingen geaccepteerd"
"Invitations Information","uitnodigingsinformatie"
"Invitations Sent","uitnodigingen verzonden"
"Invite your friends by entering their email addresses below","nodig uw vrienden uit door hun e-mail adres beneden in te vullen"
"Invitee","genodigde"
"Invitee Group","genodigdengroep"
"Invitee Information","genodigdeninformatie"
"Inviter Information","informatie over uitnodiger"
"Last Name","Achternaam"
"Link","link"
"Manage Invitations","beheer uitnodigingen"
"Max Invitations Allowed to be Sent at One Time","maximaal aantal uitnodigingen om tegelijkertijd te verzenden toegestaan"
"Message","Bericht"
"Message cannot be updated.","bericht kan niet geüpdate worden"
"My Invitations","mijn uitnodigingen"
"N/A","n.v.t."
"Name","Naam"
"New Accounts Registration","nieuwe rekeningsregistratie"
"New Invitations","nieuwe uitnodigingen"
"No customer group id specified.","gespecificeerde nieuwe klantgroep-ID"
"No invitations have been resent","Er zijn geen uitnodigingen opnieuw verzonden."
"Not Sent","Niet verzonden"
"Order Conversion Rate","bestellings wisselkoersen"
"Please enter valid email addresses, separated by new line.","Vul a.u.b. geldige e-mail adressen in, gescheiden door een nieuwe regel."
"Please select invitations.","Selecteer a.u.b. uitnodigingen"
"Please specify at least one email.","Geef a.u.b. tenminste één e-mail op."
"Referred Customer Group","Gerefereerde klantgroep"
"Registered","geregistreerd"
"Reports","Rapporten"
"Same as Inviter","Hetzelfde als uitnodiger"
"Save Invitation","Sla uitnodiging op"
"Send At","Verzend op"
"Send From","Verzenden van"
"Send Invitation","Verzend uitnodiging"
"Send Invitations","Verzend uitnodigingen"
"Send Selected","Zend geselecteerde"
"Sent","Verstuurd"
"Sign Up At","Registreer op"
"Signed Up At","Geregistreerd op"
"Status","status"
"Status History","Status geschiedenis"
"Store View","winkelweergave"
"The invitation has been saved.","De uitnodiging is opgeslagen"
"There are no sent invitations yet","Er zijn nog geen uitnodigingen verstuurd."
"This invitation is not valid.","Deze uitnodiging is niet geldig."
"Unable to determine proper website.","Niet in staat om de juiste website te determineren."
"Unable to generate encrypted code.","Niet in staat om cryptische code te genereren"
"Valid on Website","Geldig op website"
"Website","Website"
"Wrong store specified.","Onjuiste winkel gespecificeerd"
"You cannot send more invitations","U kunt geen uitnodigingen meer verzenden"
"Your invitation is not valid. Please contact us at %s.","Uw uitnodiging is niet geldig. Neem a.u.b. contact met ons op op %s."
"Your invitation is not valid. Please create an account.","Uw uitnodiging is niet geldig. Maak a.u.b. een rekening aan."
