"%s & applied","%s & toegepast"
"1","één"
"Access denied","Toegang geweigerd"
"Action","actie"
"Action Group","Actie Groep"
"Admin Actions Log","Admin Acties Logboek"
"Admin Actions Log Archive","Admin Actief Logboek"
"Admin Actions Log Archiving","Admin Acties Logboek Archivering"
"Admin Actions Logging","Admin Acties Loggen"
"Admin Actions Logs","Admin Acties Logboek"
"Admin Logging","Admin Loggen"
"Admin My Account","Beheerder Mijn Account"
"Admin Permission Roles","Beheerder Toestemming Rollen"
"Admin Permission Users","Beheerder Toestemming Gebruikers"
"Admin Sign In","Beheerder Aanmelden"
"Admin User Data","Beheerder Gebruikers Data"
"Admin User ID","Beheerder Gebruikers ID"
"Admin User Name","Beheerders Gebruikersnaam"
"Aggregated Information","Geaggregeerde Informatie"
"All Users","Alle Gebruikers"
"Archive","Archief"
"Archive File","Archief Bestand"
"Attributes Updated","Attributen Bijwerken"
"Back","Terug"
"CMS Blocks","CMS Blokken"
"CMS Pages","CMS pagina's"
"CMS Polls","CMS Polls"
"Cache Management","Cache Management"
"Cache types: %s ","Cache Type: %s"
"Catalog Attribute Sets","Catalogus Eigenschap Sets"
"Catalog Attributes","Catalogus Eigenschappen"
"Catalog Categories","Catalogus Categorieën"
"Catalog Price Rules","Catalogusprijs Regels"
"Catalog Product Tax Classes","Winkel Product Belasting klassen"
"Catalog Products","Catalogus Producten"
"Catalog Ratings","Catalogus Becijfering"
"Catalog Reviews","Catalogus Beoordelingen"
"Catalog Search","Catalogus Doorzoeken"
"Catalog Tags","Catalogus Tags"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"Currency Rates Saved","Wisselkoersen Opgeslagen"
"Custom Variables","Aangepaste Variabelen"
"Customer Groups","Klantengroepen"
"Customer Tax Classes","Klant Belasting Klassen"
"Customers","klanten"
"Daily","Dagelijks"
"Date","Datum"
"Enabled Actions","Ingeschakelde Acties"
"Error Message","Foutbericht"
"Failure","Mislukking"
"Full Action Name","Volledige Actienaam"
"Full Details","Volledige Details"
"Google Base","Google Basis"
"Google Sitemap","Google Sitemap"
"IP Address","IP Adres"
"IP-Address","IP-Adres"
"Import/Export Profiles","Import/Export Profielen"
"Index Management","Index Management"
"Item was deleted","Item is verwijdert"
"Log Archiving Frequency","Log Archiverings Frequentie"
"Log Entry #%d","Log Entry #%d"
"Log Entry Details","Log Entry Details"
"Log Entry Lifetime, Days","Logboekvermelding Levensduur, Dagen"
"Logging","Logging"
"Manage Currency Rates","Beheer Wisselkoersen"
"Manage Design","Beheer Ontwerp"
"Manage Store Views","Beheren Winkel Views"
"Manage Stores","Beheer Winkels"
"Manage Websites","Beheer Websites"
"Monthly","Maandelijks"
"N/A","n.v.t."
"New","Nieuw"
"Newsletter Queue","Nieuwsbrief Rij"
"Newsletter Subscribers","Nieuwsbriefabonnees"
"Newsletter Templates","Nieuwsbrief Templates"
"No changes","Geen veranderingen"
"PayPal Settlement Reports","PayPal Overeenstemmings Rapporten"
"Recurring Profiles","Terugkomende profielen"
"Related Changes","Verwante Wijzigingen"
"Report","Verslag"
"Reports","Rapporten"
"Result","Resultaat"
"Sales Creditmemos","Verkoop Kredietmemo's"
"Sales Invoices","Verkoopfacturen"
"Sales Order Status","Verkoop Bestellings Status"
"Sales Orders","Verkoop Bestellingen"
"Sales Shipments","Verkoop Zendingen"
"Shopping Cart Price Rules","Winkelwagen Prijs Reglement"
"Short Details","Korte Details"
"Source Data","Brongegevens"
"Success","Succes"
"System","systeem"
"System Backups","Systeem back-ups"
"System Configuration","Systeemconfiguratie"
"Tax Rates","Belastingtarieven"
"Tax Rates Export","Export Belastingtarieven"
"Tax Rates Import","Import Belastingtarieven"
"Tax Rules","Fiscale regels"
"Time","Tijd"
"Transactional Emails","Transactionele e-mails"
"Urlrewrites","Url herschrijvingen"
"User is locked","Gebruiker is geblokkeerd"
"Username","Gebruikersnaam"
"Value After Change","Waarde na wijzigen"
"Value Before Change","Waarde voor wijzigen"
"View","Bekijk"
"View Entry","Bekijk Inzending"
"Webservices API Roles","Webservices API rollen"
"Webservices API Users","Webservices API Gebruikers"
"Weekly","Wekelijks"
"Widget Instances","Widget Voorbeelden"
"X-Forwarded For","X-Forwarded Voor"
