"* Required Fields","* Vereiste velden"
"Address","Adres"
"Address Information","Adresgegevens"
"Already registered?","Al ingeschreven?"
"Back","Terug"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken bij onze winkel, kunt u sneller afrekenen, meerdere verzendadressen opgeven, uw bestellingen bekijken en tracken en meer."
"Checkout as Guest","Als een gast betalen"
"Checkout as a Guest","Bekijk als Gast"
"Checkout as a Guest or Register","Bekijk als Gast of Schrijf in"
"City","Stad"
"Company","Bedrijf"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Country","Land"
"Create an Account","Een account aanmaken"
"Easy access to your order history and status","Gemakkelijke toegang tot uw bestelgeschiedenis en -status"
"Email Address","e-mailadres"
"Fast and easy check out","Snelle en gemakkelijk betalingen"
"Fax","Fax"
"Forgot Your Password?","Uw Wachtwoord Vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"If you have an account with us, log in using your email address.","Als u een account bij ons heeft, log in met uw e-mailadres"
"Loading next step...","Volgende stap aan het laden..."
"Login","Log in"
"Login Information","Log in Gegevens"
"Login or Create an Account","Log in of Maak een Account aan"
"New Customers","Nieuwe Klanten"
"Password","Wachtwoord"
"Persist Comparison History","Volhardt Vergelijkingsgeschiedenis"
"Persist Currently Compared Products","Volhardt Huidige Vergeleken Producten"
"Persist Customer Group Membership and Segmentation","Volhardt Klantgroep Lidmaatschap en Segmentering"
"Persist Recently Ordered Items","Volhardt Onlangs Geördende Items"
"Persist Recently Viewed Products","Volhardt Onlangs Bekeken Producten"
"Persist Wishlist","Volhardt Verlanglijst"
"Personal Information","Persoonlijke Informatie"
"Please log in below:","Log hieronder in"
"Please select region, state or province","Selecteer a.u.b. uw provincie"
"Register","Registreer"
"Register and save time!","Registreer en bespaar tijd!"
"Register to Create an Account","Registreer om een Account aan te maken"
"Register with us for future convenience:","Registreer bij ons voor verder gemak"
"Registered Customers","Geregistreerde Klanten"
"Save in address book","Sla op in adresboek"
"Select State/Province...","Selecteer Provincie"
"Select a billing address from your address book or enter a new address.","Selecteer rekeninggegevens uit uw adresboek of voer nieuwe gegevens in"
"Ship to different address","Verzend naar ander adres"
"Ship to this address","Verzend naar dit adres"
"Sign Up for Newsletter","Schrijf in voor Nieuwsbrief"
"State/Province","Staat/Provincie"
"Street Address","Straatnaam"
"Submit","Bevestig"
"Telephone","Telefoon"
"Zip/Postal Code","Zip/Postcode"
