"""%s"" exceeds the allowed length.","""%s"" overschrijdt de toegestane lengte"
"""%s"" invalid type entered.","""%s"" ongeldige tekens ingevoerd."
"""%s"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%s"" is not a valid hostname.","""%s"" is geen geldige hostnaam."
"#","#"
"%s RMA (s) have been closed.","%s RMA'(s) gesloten"
"%s RMA(s) cannot be closed","%s RMA'(s) kan niet worden gesloten"
"%s for item %s cannot be empty.","%s voor item %s kan niet leeg blijven."
"About This Order:","Over deze bestelling:"
"Action","Actie"
"Add","Toevoegen"
"Add Details","Voeg details toe"
"Add Item To Return","Voeg product toe om terug te keren"
"Add New Attribute","Voeg nieuw attribuut toe"
"Add Products","Voeg producten toe"
"Add Selected Product(s) to RMA","Voeg geselecteerd(e) product(en) toe aan RMA"
"All Items","Alle producten"
"An error occurred while deleting the RMA item attribute.","Er is een fout opgetreden terwijl het RMA product attribuut verwijderd werd."
"An error occurred while saving the RMA item attribute.","Er is een fout opgetreden terwijl het RMA product attribuut opgeslagen werd"
"Answers","Antwoorden"
"Approved","Goedgekeurd"
"Approved Qty","Goedgekeurde hoeveelheid"
"Are you sure you want to cancel this RMA?","Weet u zeker dat u deze RMA wilt annuleren?"
"Are you sure you want to delete this tracking information?","Weet u zeker dat u deze traceerinformatie wilt verwijderen?"
"Attribute Information","Attribuutinformatie"
"Attribute is no longer exists.","Attribuut bestaat niet langer."
"Attribute with the same code already exists","Er bestaat een attribuut met dezelfde code"
"Authorized","Goedgekeurd"
"Authorized Qty","Goedgekeurde hoeveelheid"
"Back","terug"
"Cancel","annuleer"
"Cannot add RMA history.","Kan geen RMA geschiedenis toevoegen"
"Cannot add label.","Kan geen label toevoegen"
"Cannot add message.","Kan geen bericht toevoegen"
"Cannot add tracking number.","Kan geen traceernummer toevoegen"
"Cannot create New Return, try again later","Kan geen nieuwe teruggang maken, probeer later opnieuw"
"Cannot create rma for order #%s.","Kan geen rma voor bestelling #%s maken"
"Cannot delete label.","Kan label niet verwijderen"
"Cannot delete tracking number.","Kan traceernummer niet verwijderen"
"Cannot display available shipping methods.","Kan beschikbare verzendmethoden niet tonen"
"Cannot display item attributes.","Kan product attributen niet tonen"
"Cannot get product list.","Kan geen productlijst verkrijgen"
"Cannot initialize rma for adding tracking number.","Kan geen rma voor het toevoegen van traceernummer beginnen"
"Cannot initialize rma for delete tracking number.","Kan geen rma voor het verwijderen van traceernummer beginnen"
"Cannot load track with retrieving identifier.","Kan geen spoor laten met de ontvangende identificeerder"
"Carrier","drager"
"City","stad"
"Click to change shipping method","Klik om verzendmethode te veranderen"
"Close","sluiten"
"Close Window","sluit venster"
"Closed","gesloten"
