"(Staging Copy)","(Start kopie)"
"Accessible","Toegankelijk"
"Action","actie"
"Action Before Resetting","Actie voor resetten"
"Add","Toevoegen"
"Add Staging Website","Start-pagina toevoegen"
"Add new store view map","Nieuwe winkel toevoegen laat kaart zien"
"All automatically created entry points will reside in this folder. The folder should be writeable.","Alle automatische gecreëerde ingangspunten zullen in deze map worden opgeslagen. De map moet schrijfbaar zijn."
"All backup items are outdated. The backup is read-only.","Alle back-up items zijn oud. De back-up is alleen-lezen."
"An error occurred while adding products that must be unlinked on merge with staging website.","Er is een fout opgetreden terwijl er producten werden toegevoegd die door samensmelting verbonden moeten zijn met de voorgehouden website."
"An error occurred while merging. Please review log and try again.","Er is een fout opgetreden terwijl er een samensmelting plaatsvond. Herzie a.u.b. het log en probeer opnieuw."
"An error occurred while performing rollback. Please review the log and try again.","Er heeft zich een fout voorgedaan bij het terugdraaien. Kijk alstublieft naar het log en probeer het opnieuw."
"An error occurred while removing products that must be unlinked on merge with staging website.","Er is een fout opgetreden terwijl er producten weder verwijderd die verbonden moeten zijn door samensmelting met voorgehouden website."
"An error occurred while saving staging data. Please review log and try again.","Er is een fout opgetreden terwijl de voorgehouden data werd opgeslagen. Herzie a.u.b. het log en probeer opnieuw."
"An error occurred while validating data. Please review the log and try again.","Er is een fout opgetreden terwijl de data gevalideerd werd. Herzie a.u.b. het log en probeer opnieuw."
"An exception occurred while performing an SQL query: %s. ","Er is een uitzondering opgetreden terwijl de SQL query werd gemaakt: %s."
"An exception occurred while performing an SQL query: %s. Query: %s","Er heeft zich een fout voorgedaan bij het uitvoeren van een SQL zoekopdracht: $S Zoekopdracht: %s"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure?","Weet u het zeker?"
"Automatically Create Entry Points for Staging Websites","Automatisch ingangspunten voor start-websites creëren"
"Back","Terug"
"Backup","Backup"
"Backup General Info","Maak een backup van de algemene informatie"
"Backup Main Information","Maak een backup van de hoofdinformatie"
"Backup Name","Naam backup"
"Backup version: ","Versie backup"
"Backups","Backups"
"Base URL","Basis URL"
"Before creating a staging website, please make sure that the base URLs of the source website are properly defined.","Alvorens een voorgehouden website te creëren, weest u er a.u.b. zeker van dat de basis-URL's van de gekozen website juist gedefinieerd zijn."
"Bundles","Bundels"
"CMS Blocks","CMS Blokken"
"CMS Pages","CMS pagina's"
"Cannot perform create operation because reindexing process or another staging operation is running.","Kan geen aanmakingsoperatie uitvoeren, omdat het reindexeerproces of een andere voorgehouden operatie reeds loopt."
"Cannot perform rollback operation because reindexing process or another staging operation is running.","Kan de terugzet-operatie niet uitvoeren omdat er geherindexeerd wordt of omdat een andere startoperatie bezig is."
"Cannot perform the create operation because reindexing process or another staging operation is running.","Kan geen aanmakingsoperatie uitvoeren, omdat het reindexeerproces of een andere voorgehouden operatie reeds loopt."
"Cannot perform the merge operation because reindexing process or another staging operation is running.","Kan het samensmeltingsproces niet uitvoeren, omdat het reindexeerproces of een andere voorgehouden operatie reeds loopt."
"Cannot run the staging website.","Kon de start-website niet openen."
"Catalog Categories","Catalogus Categorieën"
"Catalog Inventory","Inventaris van de catalogus"
"Catalog Price Rules","Catalogusprijs Regels"
"Catalog Search","Catalogus Doorzoeken"
"Choose Store View","Kies winkelweergave"
"Close Entire Frontend","Hele frontend sluiten"
"Close Website During Merge or Rollback","Website sluiten tijdens samenvoegen of terugzetten"
"Close only relevant websites","Alleen relevante websites sluiten"
"Completed","Voltooid"
"Content","inhoud"
"Content Staging","Start-inhoud"
"Continue","Doorgaan"
"Could not remove the backup: #%s","Kon de backup niet verwijderen: #%s"
"Create","Creëren"
"Create New Staging Store View","Nieuwe start-winkelweergave creëren"
"Create New Staging Website","Nieuwe start-website creëren"
"Create a backup","Maak een backup"
"Created At","Gemaakt op"
"Created Date","Datum waarop het gecreëerd is"
"Current: ","Huidig:"
"Customers","klanten"
"Delete","weghalen"
"Details","Details"
"Downloadable","Downloadbaar"
"Edit","Bewerk"
