"All","Todos"
"Allowed Scopes","Âmbitos permitidos"
"An order cannot be created in disallowed store.","Uma encomenda não pode ser criada em loja não autorizada."
"Custom","Personalizado"
"None","Nenhum"
"Not enough permissions to delete this item.","Permissões insuficientes para apagar este item."
"Not enough permissions to save specified Combination of Store Scopes.","Permissões insuficientes para salvar Combinações especificadas de Âmbitos de Lojas."
"Not enough permissions to save this item.","Permissões insuficientes para salvar este item."
"Not enough permissions to set All Scopes to a Role.","Permissões insuficientes para definir Todos os Âmbitos para um Papel."
"Not enough permissions to view this item.","Permissões insuficientes para ver este item."
"Please assign this entity to a store view.","Por favor atribua esta entidade a uma visão de loja."
"Please specify at least one website or one store group.","Por favor especifique pelo menos um site ou um grupo de lojas."
"Role Scopes","Âmbitos do Papel"
"This item must be assigned to a store view.","Este item deve ser atribuído a uma visão de loja."
"This item must be assigned to a website.","Este item deve ser atribuído a um site."
"Website ""%s"" is not allowed in your current permission scope.","Website ""%s"" não é permitido em seu âmbito de permissões atual."
"Wrong store ID: %d","ID de loja errado: %d"
"Wrong website ID: %d","ID de website errado: %d"
