"-- None --","-- Nenhum --"
"Active","Ativo"
"Add Banner","Adicionar banner"
"An error occurred while deleting banner data. Please review log and try again.","Ocorreu um erro ao deletar os dados do banner. Analise o registro e tente novamente."
"An error occurred while mass deleting banners. Please review log and try again.","Ocorreu um erro ao excluir vários banners. Analise o registro e tente novamente."
"Any","Qualquer um"
"Any Banner Type","Qualquer tipo de banner"
"Applies To","Aplica-se a"
"Applies to Any of the Specified Customer Segments","Aplica-se a qualquer um dos Segmentos Especificados do Cliente"
"Are you sure you want to delete these banners?","Tem certeza que deseja excluir esses banners?"
"Banner Block Template","Modelo de bloco de banner"
"Banner Default Content for All Store Views","Conteúdo padrão de banner para visualização de todas as lojas"
"Banner Information","Informações do banner"
"Banner Inline Template","Modelo de banner em linha"
"Banner Name","Nome do banner"
"Banner Properties","Propriedades do banner"
"Banner Rotator","Rotador de banner"
"Banner Types","Tipos de banner"
"Banners","Banners"
"Banners to Display","Banners para exibição"
"CMS","SGC"
"Catalog Promotions Related","Promoções relacionadas ao catálogo"
"Content","Conteúdo"
"Content Area","Área de conteúdo"
"Customer Segments","Segmentos do cliente"
"Default Content","Conteúdo padrão"
"Delete","Excluir"
"Delete Banner","Excluir banner"
"Displays Specified or Promotion Banners","Exibe banners promocionais ou especificados"
"Do not rotate, display all at once","Não faz a rotação, exibe todos ao mesmo tempo"
"Edit Banner","Editar banner"
"Footer","Rodapé"
"Header","Cabeçalho"
"ID","Identidade"
"Left Column","Coluna da esquerda"
"Manage Banners","Gerenciar banners"
"Name must not be empty.","O nome não pode estar em branco."
"New Banner","Novo banner"
"No","Não"
"No Default Content","Nenhum conteúdo padrão"
"One at the time, Random","Um por vez, aleatório"
"One at the time, Series","Um por vez, série"
"One at the time, Shuffle","Um por vez, variando as posições"
"Please select banner(s).","Escolha o(s) banner(s)."
"Please specify default content for at least one store view.","Especifique o conteúdo padrão para pelo menos uma visualização de loja."
"Position","Posição"
"Related Banners","Banners relacionados"
"Related Catalog Price Rules","Regras de preço de catálogo relacionadas"
"Related Promotions","Promoções relacionadas"
"Related Shopping Cart Price Rules","Regras relacionadas de preço de carrinho de compras"
"Restrict by Banner Types","Restrito por tipo de banner"
"Right Column","Coluna da direita"
"Rotation Mode","Modo de rotação"
"Save Banner","Salvar o banner"
"Save and Continue Edit","Salvar e continuar a editar"
"Shopping Cart Promotions Related","Promoções relacionadas ao carrinho de compras"
"Specified","Especificado"
"Specified Banner Types","Tipos de banner especificados"
"Specified Banners","Banners especificados"
"Specify Banners","Especificar banners"
"Specify Types","Especificar tipos"
"Store View Specific Content","Conteúdo específico de visualização de loja"
"The banner has been deleted.","O banner foi excluído."
"The banner has been saved.","O banner foi salvo."
"This banner no longer exists.","Este banner não está mais disponível."
"Total of %d record(s) have been deleted.","No total %d registro(s) foi(foram) excluído(s)."
"Unable to find a banner to delete.","Não foi possível encontrar um banner para excluir."
"Unable to save the banner.","Não foi possível salvar o banner."
"Use Default","Utilizar padrão"
"Visible In","Visível em"
"Yes","Sim"
