"%s is required.","%s obrigatório."
"Action","Ação"
"Add Catalog Event","Adicionar evento do catálogo"
"Add Event...","Adicionar evento..."
"An error occurred while saving this event.","Ocorreu um erro ao salvar este evento."
"Back to Category","Voltar à categoria"
"Block Custom Width","Largura padrão do bloco"
"Catalog","Catálogo"
"Catalog Event Information","Informações sobre evento do catálogo"
"Catalog Events","Eventos do catálogo"
"Catalog Events Carousel","Carrossel de eventos do catálogo"
"Catalog Events Carousel Default Template","Modelo padrão do carrossel de eventos do catálogo"
"Categories","Categorias"
"Category","Categoria"
"Category ID","ID de categoria"
"Category Page","Página de categoria"
"Closed","Fechar"
"Coming Soon","Em breve"
"Default Values","Valores padrão"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Valor padrão. Substituir no SGC utilizando a variável limit=""x"". Caso não exista, não haverá limite."
"Default value. Override in CMS using scroll=""x"" variable.","Valor padrão. Substituir no SGC utilizando a variável scroll=""x""."
"Display Countdown Ticker On","Exibir o relógio de contagem regressiva"
"Edit","Editar"
"Edit Catalog Event","Editar evento do catálogo"
"Edit Event...","Editar evento..."
"Enable Catalog Event Widget on the Frontend","Habilitar Aplicativo Lista de Eventos na página inicial"
"Enable Catalog Events Functionality","Habilitar a Função Lista de Eventos"
"End Date","Data final"
"End date should be greater than start date.","A data final deve ser maior do que a data inicial."
"Ends On","Termina em"
"Event for selected category","Evento para categoria selecionada"
"Event has been deleted.","O Evento foi excluído."
"Event has been saved.","O Evento foi salvo."
"Events","Eventos"
"Events to Scroll per Click in Event Slider Widget","Para mover Eventos por clique no aplicativo Barra de Eventos"
"Frame Size","Tamanho da imagem"
"Go To Sale","Ir para vendas"
"ID","Identidade"
"Image","Imagem"
"Image was not uploaded.","A imagem não foi carregada."
"List all open Catalog Events as a Paginated Carousel","Listar todos as Listas de Eventos como como Carrossel de Paginação"
"Lister Block","Bloqueio de lista"
"Manage Catalog Events","Gerenciar lista de eventos"
"New Event","Novo evento"
"Number of Events to be Displayed in Event Slider Widget","Número de Eventos a serem exibidos no aplicativo Barra de Eventos"
"Number of Items to display at once","Números de itens a serem exibidos por vez"
"Number of Items to scroll per click","Número de itens a mover por clique"
"Open","Abrir"
"Preview Sale","Visualizar venda"
"Product Page","Página de produto"
"Sale Ends In","As vendas terminam em"
"Sale was closed for this product.","A venda deste produto foi encerrada."
"Save and Continue Edit","Salvar e continuar a editar"
"Scroll","Rolar"
"Select Category","Selecionar categoria"
"Some products are not salable anymore.","Alguns produtos não estão mais à venda."
"Sort Order","Classificar pedido"
"Start Date","Data de início"
"Starts On","Inicia em"
"Status","Status"
"Upcoming","Próximo"
"Use Default Value","Utilizar valor padrão"
"View Sale","Visualizar venda"
"Width in Pixels. If empty, will be determined automatically","Largura em pixels. Caso esteja em branco, será determinada automaticamente"
