"(Allow)","(Permitir)"
"(Config)","(Configuração)"
"(Deny)","(Recusar)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Aviso!</strong> Por padrão esta função restringe todas as categorias."
"A permission with the same scope already exists.","Uma permissão com o mesmo propósito já existe."
"Add to Cart","Adicionar ao carrinho"
"Allow Adding to Cart","Permitir adicionar ao carrinho"
"Allow Browsing Category","Permitir categoria de navegação"
"Browsing Category","Categoria de navegação"
"Category Permissions","Permissões da categoria"
"Category Permissions Section","Seção de permissões da categoria"
"Customer Groups","Grupos do cliente"
"Disallow Catalog Search by","Não permitir pesquisa de catalogo por"
"Display Product Prices","Exibir preços dos produtos"
"Enable","Ativar"
"Landing Page","Página de entrada"
"New Permission","Nova permissão"
"No","Não"
"No, Redirect to Landing Page","Não, redirecionar para a Página de entrada"
"Permission with the same scope","Permissão com o mesmo propósito"
"Remove Permission","Remover permissão"
"Yes, for Everyone","Sim, para todos"
"Yes, for Specified Customer Groups","Sim, para Grupos de cliente específicos"
