"%s; rev #%s","%s; rev #%s"
"Access Level","Nível de acesso"
"Add Node...","Adicionar ponto..."
"Add Selected Page(s) to Tree","Adicionar a(s) página(s) selecionada(s) à árvore"
"Add To Tree","Adicionar à árvore"
"An error occurred while deleting revisions.","Ocorreu um erro ao excluir as revisões."
"An error occurred while deleting the revision.","Ocorreu um erro ao excluir a revisão."
"An error occurred while deleting the version.","Ocorreu um erro ao excluir a versão."
"An error occurred while deleting versions.","Ocorreu um erro ao excluir as versões."
"Anchor Custom Text","Texto âncora personalizado"
"Anchor Custom Title","Título âncora personalizado"
"Are you sure you want to break current lock?","Tem certeza que deseja remover o bloqueio atual?"
"Are you sure you want to delete this revision?","Tem certeza que deseja excluir esta revisão?"
"Are you sure?","Tem certeza?"
"Author","Autor"
"Author:","Autor:"
"CMS","SGC"
"CMS Content Wrapper","Adaptador de conteúdo de SGC"
"CMS Hierarchy","Hierarquia de SGC"
"CMS Hierarchy Node Link","Link de permissão de Hierarquia de SGC"
"CMS Home Page","Página inicial de SGC"
"CMS No-Route Page","Página sem rota de SGC"
"CMS Page Default Versioning","Criação de versão padrão da página de SGC"
"CMS Page Hierarchy","Hierarquia da página de SGC"
"CMS Page Link Block Template","Modelo de bloco de link da página de SGC"
"CMS Page Link Inline Template","Modelo Em Linha de Link de Página CMS"
"CMS Page Trees","Página Árvores CMS"
"CMS Pages","Páginas CMS"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Versioning","Versionamento CMS"
"Cancel","Cancelar"
"Cannot change version access level because it is the last public version for its page.","Não é possível alterar o nível de acesso da versão porque é a última versão pública de sua página."
"Cannot change version access level because its revision is published.","Não é possível alterar o nível de acesso da versão porque a sua revisão está publicada."
"Chapter/Section","Capítulo/Seção"
"Choose Revision","Escolha Revisão"
"Choose Store View","Escolha Ver Loja"
"Circle","Círculo"
"Content","Conteúdo"
"Could not load specified revision.","Não foi possível carregar revisão especificada."
"Could not load specified version.","Não foi possível carregar versão especificada."
"Created","Criada"
"Created At","Criada Em"
"Created:","Criada:"
"Current Modification","Modificação Atual"
"Currently Published Revision","Revisão Atualmente Publicada"
"Default","Predefinido"
"Default Layout for Hierarchy Menu","Esquema Predefinido para Menu Hierarquia"
"Delete","Excluir"
"Delete Revision and Version","Eliminar Revisão e Versão"
"Disabled by Default","Desativada por Defeito"
"Disc","Disco"
"Edit Page '%s' New Revision","Editar nova revisão da página '%s'"
"Edit Page '%s' Revision #%s","Editar revisão #%s da página '%s'"
"Edit Page '%s' Version '%s'","Editar versão '%s' da página '%s'"
"Edit Revision","Editar revisão"
"Edit Version","Editar versão"
"Enable Chapter/Section","Ativar capítulo/seção"
"Enable Hierarchy Functionality","Ativar função de hierarquia"
"Enable Hierarchy Metadata","Ativar metadados de hierarquia"
"Enable Navigation Menu","Ativar o menu de navegação"
"Enable Pagination","Ativar paginação"
"Enabled by Default","Habilitado como padrão"
"Error in saving hierarchy.","Erro ao salvar a hierarquia."
"Exclude from Navigation Menu","Excluir do menu de navegação"
"First","Primeiro"
"Frame","Estrutura"
"Frame Skip","Ignorar estrutura"
"Hierarchy","Hierarquia"
"Hierarchy Page Lock Timeout (seconds)","Limite de tempo de bloqueio da página de hierarquia (segundos)"
"How many Links to display at once","Quantos links exibir por vez"
"If empty, will use the Node or Page Name","Caso não exista, utilizaremos o Nome da Página ou Ponto"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a Posição Atual da Estrutura não cobrir até os Limites das Páginas, fornecerá links para a Posição Atual mais/menos este Valor"
"Invalid node data.","Dado inválido de ponto."
"Label for version is a required field.","A marca da versão é um campo obrigatório."
"Left Column","Coluna da esquerda"
"Link to Specified CMS Hierarchy Node","Link para o ponto de hierarquia especificada de SGC"
"List Style","Estilo de lista"
"List Type","Tipo de lista"
"Lower Alpha (a, b, c, ...)","Alfabeto minusculo (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Romano minúsculo (i, ii, iii, ...)"
"Manage Content","Gerenciar conteúdo"
"Manage Hierarchy","Gerenciar hierarquia"
"Manage Pages Hierarchy","Gerenciar hierarquia de páginas"
"Maximal Depth","Altura máxima"
"Menu Detalization","Detalhamento de menu"
"Menu Layout","Aparência do menu"
"N/A","Indisponível"
"Navigation Menu Options","Opções do menu de navegação"
"Neighbours and Children","Vizinhos e crianças"
"New Page","Nova página"
"New Revision","Nova revisão"
"New Revision...","Nova revisão..."
"Next","Próximo"
"Next/Previous","Próximo/Anterior"
"No","Não"
"No Nodes available","Nenhum Ponto disponível"
"No preview available","Visualização não disponível"
"Node","Ponto"
"Node Levels to Include","Níveis de Ponto a incluir"
"Node Properties","Propriedades do Ponto"
"Node with same URL Key already exists.","Um Ponto com o mesmo URL já existe."
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Only Children","Apenas crianças"
"Ordered","Solicitado"
"Owner","Proprietário"
"Page ID","ID da página"
"Page Properties","Propriedades da página"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","O bloqueio da página acaba em 60 segundos. Salve as alterações para evitar possível perda de dados."
"Page:","Página:"
"Pages","Páginas"
"Pages Hierarchy","Hierarquia de páginas"
"Pagination Options for Nested Pages","Opções de paginação para páginas aninhadas"
"Please select revision(s).","Escolha a(s) revisão(ões)."
"Please select version(s).","Escolha a(s) versão(ões)."
"Preview","Visualizar"
"Previous","Anterior"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Publish","Publicar"
"Publish Revision","Publicar revisão"
"Published","Publicado"
"Published Revision Unavailable","Revisão publicada não disponível"
"Remove From Tree","Remover da árvore"
"Render Metadata in HTML Head","Processar metadados na cabeça HTML"
"Revision #","Revisão #"
"Revision #%s","Revisão #%s"
"Revision #%s could not be removed because it is published.","A revisão #%s não pode ser removida porque está publicada."
"Revision Information","Informações de revisão"
"Revisions Qty","Quantidade de revisões"
"Right Column","Coluna da direita"
"Root","Raiz"
"Save","Salvar"
"Save Pages Hierarchy","Salvar hierarquia das páginas"
"Save Revision and Version","Salvar Revisão e Versão"
"Save and Continue Edit","Salvar e continuar a editar"
"Save and Publish","Salvar e Publicar"
"Save as New Version","Salvar como nova versão"
"Save in New Version...","Salvar em Nova Versão..."
"Select Page or Node...","Selecionar página ou ponto..."
"Specify New Version Name (required)","Especificar o nome da nova versão (obrigatório)"
"Square","Quadrado"
"Template","Modelo"
"The hierarchy has been saved.","A hierarquia foi salva."
"The new version has been created.","A nova versão foi criada."
"The revision has been deleted.","A revisão foi excluída."
"The revision has been published.","A revisão foi publicada."
"The revision has been saved.","A revisão foi salva."
"The version has been deleted.","A versão foi excluída."
"The version has been saved.","A versão foi salva."
"There are unsaved node data. Are you sure you want to proceed?","Existem dados de nó não guardados. Tem certeza de que deseja prosseguir?"
"This Page Belongs To","Esta Página Pertence A"
"This Page is locked by '%s'.","Esta página está bloqueada por '%s'."
"This Page is locked by you.","Esta página está bloqueada por você."
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página não pode ser adicionada, porque um nó ou página com a mesma Chave URL já existe nesta parte da árvore."
"This page is currently locked.","Esta página está no momento bloqueada."
"Title","Título"
"Total of %d record(s) have been deleted","Total de %d registro(s) foram eliminados"
"Total of %d record(s) have been deleted.","No total %d registro(s) foi(foram) excluído(s)."
"Tree Viewed","Árvore Visualizada"
"URL Key","Chave URL"
"Unable to find a revision to delete.","Incapaz de encontrar uma revisão para apagar."
"Unable to find a version to delete.","Incapaz de encontrar uma versão para apagar."
"Under Version Control","Em Controle de Versão"
"Unlock This Page","Desloquear Esta Página"
