"* Required Fields","* Campos obrigatórios"
"-- Please Select --","- Por Favor Selecione -"
"Account Information","Informações da Conta"
"Add New Address","Adicionar Novo Endereço"
"Add New Attribute","Adicionar Novo Atributo"
"Additional Address Entries","Entradas Adicionais de Endereço"
"Address","Endereço"
"Address Book","Livro de Endereços"
"Address Information","Informações de Endereço"
"All Themes","Todos os Temas"
"An error occurred while deleting the customer address attribute.","Ocorreu um erro ao apagar o atributo de endereço do cliente."
"An error occurred while deleting the customer attribute.","Ocorreu um erro ao excluir o atributo do cliente."
"An error occurred while deleting the form type.","Ocorreu um erro ao excluir o tipo de formulário."
"An error occurred while saving the customer address attribute.","Ocorreu um erro ao salvar o atributo de endereço do cliente."
"An error occurred while saving the customer attribute.","Ocorreu um erro ao salvar o atributo do cliente."
"An error occurred while saving the form type.","Ocorreu um erro ao salvar o tipo de formulário."
"Are you sure you want to delete this address?","Tem certeza de que deseja excluir este endereço?"
"Attribute Information","Informação do Atributo"
"Attribute is no longer exists.","Atributo não existe mais."
"Attribute with the same code already exists","Atributo com o mesmo código já existe"
"Attributes","Atributos"
"Back","Voltar"
"Back to Login","Voltar à Entrada"
"Based On","Baseado Em"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rapidamente, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"Cancel","Cancelar"
"Change Billing Address","Alterar o endereço de faturamento"
"Change Password","Alterar senha"
"Change Shipping Address","Alterar endereço de remessa"
"City","Cidade"
"Comma separated","Separado por vírgula"
"Company","Companhia"
"Confirm New Password","Confirmar a nova senha"
"Confirm Password","Confirmar a senha"
"Contact Information","Informações de contato"
"Country","País"
"Create an Account","Criar uma conta"
"Current Password","Senha atual"
"Customer","Cliente"
"Customer Account Edit Form","Editar formulário da conta do cliente"
"Customer Account Login Form","Formulário de login da conta do cliente"
"Customer Account Logout Success","Saída com sucesso da conta do cliente"
"Customer Account Registration Form","Formulário de registro da conta do cliente"
"Customer Forgot Password Form","Formulário Esqueceu a senha do cliente"
"Customer My Account (All Pages)","Minha conta do cliente (Todas as páginas)"
"Customer My Account Address Book","Livro de endereço da Minha conta do cliente"
"Customer My Account Address Edit Form","Formulário de editar endereço da Minha conta do cliente"
"Customer My Account Dashboard","Painel da Minha conta do cliente"
"DD","DD"
"Date of Birth","Data de aniversário"
"Day","Dia"
"Default Addresses","Endereço padrão"
"Default Billing Address","Endereço padrão de faturamento"
"Default Shipping Address","Endereço padrão de entrega"
"Default Values","Valores padrão"
"Delete Address","Apagar endereço"
"Delete Attribute","Apagar atributo"
"Edit","Editar"
"Edit Account Information","Editar informações da conta"
"Edit Address","Editar endereço"
"Edit Address Entry","Editar entrada de endereço"
"Edit Customer Address Attribute","Editar atributo de endereço do cliente"
"Edit Customer Address Attribute ""%s""","Editar atributo de endereço do cliente ""%s"""
"Edit Customer Attribute","Editar atributo do cliente"
"Edit Customer Attribute ""%s""","Editar atributo do cliente ""%s"""
"Edit Form Type ""%s""","Editar tipo de formulário ""%s"""
"Edit Newsletters","Editar boletins informativos"
"Email Address","Endereço de e-mail"
"Fax","Fax"
"File Extensions","Extensões de arquivo"
"For Theme","Para tema"
"Forgot Your Password?","Esqueceu a senha?"
"Form Code","Código do formulário"
"Form Fields Before","Campos do formulário antes"
"Form Label","Etiqueta do formulário"
"Form Title","Título do formulário"
"Form Type Code","Código do tipo de formulário"
"Form Type Information","Informações do tipo de formulário"
"Form type has been deleted.","O tipo de formulário foi excluído."
"Forms to Use In","Formulário para utilizar em"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No Painel da Minha Conta é possível visualizar um resumo das atividades recentes da sua conta e atualizar as informações da conta. Selecione o link abaixo para visualizar ou editar as informações."
"Frontend Properties","Propriedades de interface inicial"
"General","Geral"
"General Information","Informações gerais"
"General Subscription","Assinatura geral"
"Go back","Voltar"
"Hello, %s!","Olá, %s!"
"If you have an account with us, log in using your email address.","Caso tenha alguma conta conosco, conecte-se utilizando seu endereço de e-mail."
"Input Type","Tipo de entrada"
"Input Validation","Validação de entrada"
"Input/Output Filter","Filtro de entrada/saída"
"Label","Etiqueta"
"Lines Count","Contagem de linhas"
"Login","Conectar-se"
"Login Information","Informações de login"
"Login or Create an Account","Conectar-se ou criar conta"
"MM","MM"
"Manage Addresses","Gerenciar endereços"
"Manage Customer Address Attributes","Gerenciar atributos de endereço do cliente"
"Manage Customer Attributes","Gerenciar atributos do cliente"
"Manage Form Types","Gerenciar tipos de formulário"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Maximum File Size (bytes)","Tamanho máximo do arquivo (bytes)"
"Maximum Image Height (px)","Altura máxima da imagem (px)"
"Maximum Image Width (px)","Largura máxima da imagem (px)"
"Maximum Text Length","Comprimento máximo do texto"
"Maximum value","Valor máximo"
"Minimal value","Valor mínimo"
"Minimum Text Length","Comprimento mínimo do texto"
"Month","Mês"
"My Account Wrapper","Envoltório da Minha Conta"
"My Dashboard","Meu Painel"
"New Address Entry","Nova entrada de endereço"
"New Attribute","Novo atributo"
"New Customer Address Attribute","Novo atributo de endereço do cliente"
"New Customer Attribute","Novo atributo do cliente"
"New Customers","Novos clientes"
"New Fieldset","Novo conjunto de campo"
"New Form Type","Novo tipo de formulário"
"New Password","Nova senha"
"Newsletter Subscription","Assinatura do boletim informativo"
"Newsletters","Boletins informativos"
"No","Não"
"None","Nenhum"
"Password","Senha"
"Personal Information","Informações pessoais"
"Please enter your email below and we will send you the confirmation link for it.","Digite seu e-mail abaixo e enviaremos o link de confirmação para ele."
"Please enter your email below and we\'ll send you a new password.","Digite seu e-mail abaixo e enviaremos uma nova senha."
"Please select region, state or province","Selecione a região, estado ou província"
"Properties","Propriedades"
"Register","Registrar"
"Registered Customers","Clientes cadastrados"
"Remove","Remover"
"Save","Salvar"
"Save Address","Salvar endereço"
"Save Attribute","Salvar atributo"
"Save Password","Salvar senha"
"Save and Continue Edit","Salvar e continuar a editar"
"Send confirmation link","Enviar link de confirmação"
"Show on Frontend","Exibir a parte frontal"
"Sign Up for Newsletter","Assinar o boletim informativo"
"Sort Order","Classificar pedido"
"State/Province","Estado/Província"
"Store Credit","Credito da loja"
"Store View","Visualização da loja"
"Street Address","Endereço da rua"
"Submit","Enviar"
"System","Sistema"
"System form type cannot be deleted.","O tipo de formulário do sistema não pode ser excluído."
"Telephone","Telefone"
"The customer address attribute has been deleted.","O atributo de endereço do cliente foi apagado."
"The customer address attribute has been saved.","O atributo de endereço do cliente foi salvo."
"The customer attribute has been deleted.","O atributo do cliente foi apagado."
"The customer attribute has been saved.","O atributo do cliente foi salvo."
"This is My Default %s Address","Este é o Meu Endereço %s Padrão"
"To use this attribute in address template you should edit it here.","Para usar esse atributo no modelo de endereço você deve editá-lo aqui."
"Use Store Credit (%s available)","Use Crédito da Loja (%s disponível)"
"Use as My Default %s Address","Use como Meu Endereço %s Padrão"
"Use as my default billing address","Use como meu endereço de cobrança padrão"
"Use as my default shipping address","Use como meu endereço de entrega padrão"
"Use helper with defined EAV entity","Use auxiliar com entidade EAV definida"
"Valid range 2-20","Intervalo válido 2-20"
"Visible on Frontend","Visível no Frontend"
"YYYY","AAAA"
"Year","Ano"
"Yes","Sim"
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum boletim informativo."
"You are currently subscribed to 'General Subscription'.","Você está atualmente inscrito em ""Assinatura Geral""."
"You are currently subscribed to our newsletter.","Você está atualmente inscrito em nosso boletim informativo."
"You cannot delete this attribute.","Você não pode apagar este atributo."
"You cannot edit this attribute.","Você não pode editar este atributo."
"You have no additional address entries in your address book.","Você não tem nenhuma entrada de endereço adicional no seu livro de endereços."
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu livro de endereços."
"You have no default shipping address in your address book.","Você não tem endereço de entrega padrão no seu livro de endereços."
"Zip/Postal Code","Zip/Código Postal"
