"Action","Ação"
"Additional information","Informações adicionais"
"An amount on which to change the balance","Um valor para mudar o saldo"
"Balance","Saldo"
"Balance Change","Mudança no saldo"
"Balance History","Histórico do saldo"
"Balance history cannot be saved without existing balance.","O histórico do saldo não pode ser salvo sem que haja um saldo existente."
"By admin: %1$s. (%2$s)","Pelo administrador: %1$s. (%2$s)"
"By admin: %s.","Pelo administrador: %s."
"Comment","Comentário"
"Created","Criada"
"Customer ID must be specified.","A ID do cliente deve ser especificada."
"Customer My Account Store Credit","Crédito de loja da Minha Conta do cliente"
"Customer is not set or does not exist.","O cliente não está configurado ou não existe."
"Customer notified?","Cliente notificado?"
"Date","Data"
"Delete Orphan Balances","Excluir Saldos Orfãos"
"Enable Store Credit Functionality","Ativar funcionalidade de Crédito de loja"
"Failed to initialize customer","Erro ai iniciar o cliente"
"In order to send email notification, the Store ID must be set.","Para enviar uma notificação por e-mail, a ID da loja deve estar configurada."
"No","Não"
"Not enough Store Credit Amount to complete this Order.","O Valor do Crédito da Loja não é suficiente para completar o Pedido."
"Notified","Notificado"
"Notify Customer by Email","Notificar cliente por e-mail"
"Order #%s","Pedido #%s"
"Please set store ID as well.","Por favor defina também o ID da loja."
"Refund Money to Store Credit","Reembolso de dinheiro ao crédito da loja"
"Refund Store Credit Automatically","Reembolso Automático do Crédito da Loja"
"Refund Store Credit to Store Credit","Reembolso do Crédito da Loja ao Crédito da Loja"
"Refund to Store Credit","Reembolso ao Crédito da Loja"
"Refunded","Reembolsado"
"Refunded to Store Credit","Reembolsado ao Crédito da Loja"
"Remove","Remover"
"Reverted","Revertido"
"Send Email Notification From the Following Store View","Enviar Notificação de Email da Seguinte Vista da Loja"
"Send Email from the Following Store View","Enviar Email da Seguinte Vista da Loja"
"Show Store Credit History to Customers","Mostrar Histórico de Crédito da Loja a Clientes"
"Store Credit","Credito da loja"
"Store Credit (%s)","Crédito da Loja (%s)"
"Store Credit Balance","Balanço do Crédito da Loja"
"Store Credit Balance and History Wrapper","Balanço do Crédito da Loja e Envoltório da História"
"Store Credit Options","Opções do Crédito da Loja"
"Store Credit Update","Atualização do Crédito da Loja"
"Store Credit Update Email Sender","Remetente Email da Atualização do Crédito da Loja"
"Store Credit Update Email Template","Modelo Email da Atualização do Crédito da Loja"
"Store Credit payment is not being used in your shopping cart.","Pagamento de Crédito da Loja não está sendo usado em seu carrinho de compras."
"Store credit amount cannot exceed order amount.","Montante do crédito da loja não pode exceder montante da ordem."
"The store credit payment has been removed from shopping cart.","O pagamento de crédito da loja foi removido do carrinho de compras."
"There is no creditmemo set to balance model.","Não há nenhuma nota de crédito definida para o modelo de balanço."
"There is no order set to balance model.","Não há uma ordem definida para o modelo do balanço."
"Unknown balance history action code","Código de ação de histórico de saldo desconhecido"
"Update Balance","Atualizar saldo"
"Updated","Atualizado"
"Use Store Credit","Utilizar cartão de crédito da loja"
"Use Store Credit (%s available)","Use Crédito da Loja (%s disponível)"
"Used","Utilizado"
"Website","Website"
"Website ID must be set.","O ID do website deve ser ajustado."
"Your current balance is:","Seu saldo atual é:"
"available","disponível"
