"Active","Ativo"
"Add Segment","Adicionar segmento"
"Address Attributes","Atributos de endereço"
"Address Type","Tipo de endereço"
"Any","Qualquer um"
"Assigned to Website","Designado ao site"
"Average","Média"
"Back","Voltar"
"Billing","Faturamento"
"CSV","CSV"
"Conditions","Condições"
"Conditions Combination","Combinação de condições"
"Country","País"
"Customer","Cliente"
"Customer %s","Cliente %s"
"Customer Address","Endereço do cliente"
"Customer Address %s","Endereço do cliente %s"
"Customer Segment","Segmento do cliente"
"Customer Segment Report","Relatório de segmento do cliente"
"Customer Segment Report \'%s\'","Relatório de segmento do cliente \'%s'\"
"Customer Segment data has been refreshed.","Os dados do segmento do cliente foram atualizados."
"Customer Segments","Segmentos do cliente"
"Customer Segments Report","Relatório de segmentos do cliente"
"Customer Since","Cliente desde"
"Customer Store Credit Amount %s %s:","Valor do crédito do cliente da loja %s %s:"
"Customer is %s to newsletter.","O cliente está %s ao boletim informativo."
"Customers","Clientes"
"Date Range","Intervalo de data"
"Date Ranges","Intervalo de datas"
"Default Address","Endereço padrão"
"Delete","Excluir"
"Description","Descrição"
"Details","Detalhes"
"Edit Segment","Editar segmento"
"Edit Segment '%s'","Editar segmento '%s'"
"Email","E-mail"
"Enable Customer Segment Functionality","Ativar a funcionalidade de segmento do cliente"
"Excel XML","Excel XML"
"General Properties","Propriedades gerais"
"Gift Card","Cartão de presente"
"Grand Total","Total geral"
"Group","Grupo"
"Has State/Province","Tem Estado/Província"
"ID","Identidade"
"If Customer Address %s State/Province specified","Se o endereço do cliente %s Estado/Província especificado"
"Inactive","Inativo"
"Intersection","Interseção"
"Manage Segments","Gerenciar segmentos"
"Matched %d Customers of Segment %s","Compatibilizou %d clientes do segmento %s"
"Matched Customers (%d)","Clientes compatibilizados (%d)"
"Name","Nome"
"New Segment","Novo segmento"
"Newsletter Subscription","Assinatura do boletim informativo"
"Number of Cart Line Items","Número de itens do carrinho de compras"
"Number of Customers","Número de clientes"
"Number of Orders","Número de pedidos"
"Order Address","Endereço do pedido"
"Order Address %s","Endereço do pedido %s"
"Order Address Attributes","Atributos do endereço do pedido"
"Order Status","Status do pedido"
"Product %s","Produto %s"
"Product Attributes","Atributos do produto"
"Product History","Histórico do produto"
"Product List","Lista de produtos"
"Products","Produtos"
"Products Quantity","Quantidade de produtos"
"Purchased Quantity","Quantidade adquirida"
"Refresh Segment Data","Atualizar dados do segmento"
"Reports","Relatórios"
"Sales","Vendas"
"Sales Amount","Montante de vendas"
"Save","Salvar"
"Save and Continue Edit","Salvar e continuar a editar"
"Segment Customers matching error.","Erro de compatibilidade de segmento do cliente"
"Segment Information","Informações do segmento"
"Segment Name","Nome do segmento"
"Segments","Segmentos"
"Set","Ajustar"
"Shipping","Remessa"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Total","Total do carrinho de compras"
"State/Province","Estado/Província"
"Status","Status"
"Store Credit","Credito da loja"
"Subtotal","Subtotal"
"Tax","Taxas"
"Telephone","Telefone"
"The segment has been deleted.","O segmento foi excluído."
"The segment has been saved.","O segmento foi salvo."
"Total","Total"
"Unable to delete the segment.","Não foi possível excluir o segmento"
"Unable to save the segment.","Não foi possível salvar o segmento."
"Union","União"
"Unknown operator specified.","O operador especificado não é conhecido."
"Unknown quote total specified.","O total da cotação especificado não é conhecido."
"Up To Date","Atualizado"
"Use in Customer Segment","Utilizar no segmento do cliente"
"View Combined Report","Visualizar relatório combinado"
"Viewing combined ""%s"" report from segments: %s","Visualizar relatório combinado ""%s"" dos segmentos: %s"
"Viewing combined ""%s"" report from segments: %s.","Visualizar relatório combinado ""%s"" dos segmentos: %s."
"Website","Website"
"Wishlist","Lista de presentes"
"Wrong customer segment requested.","O segmento do cliente solicitado está errado."
"ZIP","CEP"
"does not exist","não existe"
"does not have","não tem"
"does not match","não é compatível"
"exists","existe"
"has","tem"
"is not one of","não é um de"
"is one of","é um de"
"matches","é compatível"
"not subscribed","não cadastrado"
"ordered","solicitado"
"subscribed","cadastrado"
"viewed","visualizado"
