"Alpha Only","Apenas alfabético"
"Alphanumeric","Alfanumérico"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","O código do atributo não é válido. Utilize apenas letras (a-z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra."
"Current module XML block name is undefined","O nome do bloco do módulo XML atual não foi definido"
"Current module form model pathname is undefined","O nome do caminho do modelo de formulário do módulo atual não foi definido"
"Date","Data"
"Default EAV Form","Formulário EAV padrão"
"Dropdown","Menu suspenso"
"Email","E-mail"
"Escape HTML Entities","Entradas HTML de escape"
"File (attachment)","Arquivo (anexo)"
"Image File","Arquivo de imagem"
"Multiple Line","Linhas múltiplas"
"Multiple Select","Múltipla escolha"
"No","Não"
"Normalize Date","Normalizar data"
"Numeric Only","Apenas numérico"
"Strip HTML Tags","Tiras de tags HTML"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"URL","URL"
"Use helper with defined EAV entity","Use auxiliar com entidade EAV definida"
"Yes","Sim"
"Yes/No","Sim/Não"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VISUALIZAR LOJA]"
"[WEBSITE]","[WEBSITE]"
