"-- First Please Select a Website --","-- Primeiro escolha um site --"
"Action","Ação"
"Active","Ativo"
"Add Gift Card","Adicionar cartão de presente"
"Add Gift Card Account","Adicionar conta de cartão de presente"
"Additional information","Informações adicionais"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Are you sure you want to delete these gift card accounts?","Tem certeza que deseja excluir essas contas de cartão de presente?"
"Available","Disponível"
"Balance","Saldo"
"Balance Change","Mudança no saldo"
"Balance cannot be less than zero.","O saldo não pode ser inferior a zero."
"By admin: %s.","Pelo administrador: %s."
"Cannot apply Gift Card","Não é possível aplicar o Cartão de presente"
"Cannot apply gift card.","Não é possível aplicar o cartão de presente."
"Cannot redeem Gift Card.","Não é possível resgatar o Cartão de presente."
"Cannot remove Gift Card","Não é possível remover o Cartão de presente"
"Cannot remove gift card.","Não é possível remover o cartão de presente."
"Check","Verificar"
"Check Gift Card status and balance","Verificar o status e o saldo do Cartão de presente"
"Check status and balance","Verificar o status e o saldo"
"Code","Código"
"Code Format","Formato do código"
"Code Length","Tamanho do código"
"Code Prefix","Prefixo Código"
"Code Suffix","Sufixo Código"
"Created","Criada"
"Current Balance: %s","Balanço Atual: %s"
"Customer #%s.","Cliente #%s."
"Customer My Account Gift Card Check Form","Formulário de Verificação do Cartão Oferta da Minha Conta de Cliente"
"Customers","Clientes"
"Dash Every X Characters","Trace Cada X Caracteres"
"Date","Data"
"Date Created","Data da Criação"
"Delete","Excluir"
"Do you really want to proceed? All unsaved changes will be lost.","Você realmente deseja continuar? Todas as alterações não salvas serão perdidas."
"Edit Gift Card Account","Edite Conta Cartão Oferta"
"Edit Gift Card Account: %s","Edite Conta Cartão Oferta: %s"
"Email Sent from Gift Card Account Management","E-mail enviado a partir da Conta de Gestão do Cartão Oferta"
"Email Template","Modelo de e-mail"
"Email was not sent because the gift card account is not active.","E-mail não enviado porque a conta do cartão oferta não está ativa."
"Enter Gift Card code","Insira código de Cartão Oferta"
"Enter gift card code","Insira código de cartão oferta"
