"%d email(s) were sent.","%d emails foram enviados."
"%d item(s) have been added to gift registry.","%d itens foram adicionados ao registro de prenda."
"%s","%s"
"* Required Fields","* Campos obrigatórios"
"-- All --","-- Todos --"
"-- Please select --","-- Selecione --"
"Action","Ação"
"Actions","Ações"
"Active","Ativo"
"Add All To Gift Registry ","Adicione Todos Ao Registro de Prenda"
"Add All to Cart","Adicione Todos ao Carrinho de Compras"
"Add Attribute","Adicione Atributo"
"Add Gift Registry Type","Adicione Tipo de Registro de Prenda"
"Add New","Adicione Novo"
"Add New Option","Adicione Nova Opção"
"Add Recipient","Adicione Destinatário"
"Add to Cart","Adicionar ao carrinho"
"Add to Gift Registry","Adicione ao Registro de Prenda"
"Added On","Adicionado Em"
"Adding more than one attribute with the same static input type is not allowed for the same gift registry type. Please select another input type for your attribute.","Adicionando mais de um atributo com o mesmo tipo de entrada estático não é permitido para o mesmo tipo de registro de prenda. Por favor, selecione outro tipo de entrada para o seu atributo."
"Address","Endereço"
"Address is empty.","Endereço está vazio."
"All Forms","Todas as Formas"
"An error occurred while deleting gift registry.","Ocorreu um erro ao eliminar registro de prenda."
"An error occurred while editing gift registry.","Ocorreu um erro durante a edição de registro de prenda."
"An error occurred while sending email(s).","Ocorreu um erro ao enviar email(s)."
"An error occurred while sharing gift registry.","Ocorreu um erro ao compartilhar registro de oferta."
"An item option with code %s already exists.","Uma opção de item com o código %s já existe."
"Are you sure you want to add these products?","Tem certeza de que deseja adicionar estes produtos?"
"Are you sure you want to delete this gift registry?","Tem certeza de que deseja apagar este registro de oferta?"
"Are you sure you want to remove this product from your wishlist?","Tem certeza de que deseja remover este produto da sua lista de desejos?"
"Attribute Group","Grupo de Atributo"
"Attributes","Atributos"
"Back","Voltar"
"Cannot add item to shopping cart","Não é possível adicionar item ao carrinho de compras"
"Cannot specify product.","Não é possível especificar produto."
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Mudar quantidade dos itens do registro da oferta não é permitido durante o checkout. Você pode mudar a quantidade do item na página de Informação do Registro da Oferta ou diretamente no seu carrinho de compras."
"City","Cidade"
"Code","Código"
"Comment","Comentário"
"Company","Companhia"
"Country","País"
"Create Gift Registry","Criar Registro Oferta"
"Created On","Criado Em"
"Created on","Criado em"
"Custom Types","Tipos Personalizados"
"Customer My Account GiftRegistry Add","Adicionar Registro de Oferta à Minha Conta Cliente"
"Customer My Account GiftRegistry Edit","Editar Registro de Oferta da Minha Conta Cliente"
"Customers","Clientes"
"Customize and Add to Gift Registry","Personalizar e Adicionar ao Registro de Oferta"
"Date","Data"
"Date Format","Formato de data"
"Default Template","Modelo padrão"
"Delete","Excluir"
"Delete Attribute","Apagar atributo"
"Delete Option","Excluir opção"
"Delete Registry","Excluir registro"
"Deleting this gift registry type will also remove all customers' gift registries created based on it. Are you sure you want to proceed?","Excluir esse tipo de registro de presente também removerá os registros de presente criados com base nele. Tem certeza que deseja continuar?"
"Edit","Editar"
"Edit '%s' Gift Registry","Editar '%s' Registro de Presente"
"Edit '%s' Gift Registry Type","Editar '%s' Tipo de Registro de Presente"
"Edit Gift Registry","Editar Registro de Presente"
"Edit Type","Editar o tipo"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email Sender","Remetente do e-mail:"
"Email Template","Modelo de e-mail"
"Email:","E-mail:"
"Emails","E-mails"
