"%1$d of %2$d invitations were discarded.","%1$d de %2$d convites foram descartados."
"%1$d of %2$d invitations were sent.","%1$d de %2$d convites foram enviados."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d convites não podem ser enviados, porque o cliente já existe para os seus emails. Estes convites foram descartados."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d convites não foram enviados, porque já existem contas de clientes para os endereços de email especificados."
"%d invitation(s) were sent.","%d convites foram enviados."
"%d of selected invitation(s) were skipped.","%d dos convites selecionados foram pulados."
"* Required Fields","* Campos obrigatórios"
"Acceptance Rate","Taxa de Aceitação"
"Accepted","Aceite"
"Accepted and Purchased","Aceite e Comprado"
"Add Invitations","Adicionar Convites"
"Admin","Admin"
"Allow Customers to Add Custom Message to Invitation Email","Permitir que os Clientes Adicionem Mensagem Personalizada ao Email Convite"
"Are you sure you want to discard this invitation?","Tem certeza de que deseja descartar este convite?"
"Are you sure you want to do this?","Tem certeza de que quer fazer isso?"
"Available to All","Disponível para Todos"
"Back","Voltar"
"Back to Invitations","Voltar para Convites"
"By Invitation Only","Apenas por convite"
"CSV","CSV"
"Conversion Rate","Taxa de Conversão"
"Customer Account Registration by Invitation Form","Registro de Conta Cliente por Formulário Convite"
"Customer Group","Grupo de Clientes"
"Customer ID","ID do Cliente"
"Customer Invitation","Convite do Cliente"
"Customer Invitation Email Sender","Rementente do Email de Convite ao Cliente"
"Customer Invitation Email Template","Modelo de Email de Convite ao Cliente"
"Customer Invitations","Convites ao Cliente"
"Customer My Account Invitations Form","Formulário de Convites de ""Minha Conta"" do Cliente"
"Customer My Account Invitations List","Lista de Convites de ""Minha Conta"" do Cliente"
"Customer with email ""%s"" already exists.","Já existe um cliente com o  email ""%s""."
"Customers","Clientes"
"Default Customer Group from System Configuration","Grupo de Cliente Padrão da Configuração do Sistema"
"Default from System Configuration","Padrão da Configuração do Sistema"
"Discard Invitation","Descartar Convite"
"Discard Rate","Descartar Taxa"
"Discard Selected","Descartar o(s) item(ns) selecionado(s)."
"Discarded","Descartado."
"Email","E-mail"
"Email is not specified.","Email não especificado."
"Enable Invitations Functionality","Habilitar Funcionalidade de Convites"
"Enable Invitations on Frontend","Habilitar Convites em Front-End"
"Enter Each Email on New Line","Insira um email por linha."
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","Falha no envio de %1$d de %2$d convite(s)."
"Failed to send %d invitation(s).","Falha no envio de convite(s) a %d."
"Failed to send email to %s.","Falh no envio de email a %s."
"First Name","Primeiro nome"
"General","Geral"
"General Report","Relatório Geral"
"Group","Grupo"
"ID","Identidade"
"Invalid invitation code.","Código de convite inválido."
"Invalid invitation email.","Email de convite inválido."
"Invalid or empty invitation email.","Email de convite inválido ou vazio."
"Invalid value used for ""%s"" parameter. Previous value saved.","Valor inválido utilizado para parâmetro ""%s"". Valor anterior salvo."
"Invitation Form Before","Formulário de Convite Antes"
"Invitation Information","Informação de Convite"
"Invitation List Before","Lista de Convite Antes"
"Invitation Message","Mensagem de Convite"
"Invitation Report by Customers","Relatório de Convite por Clientes"
"Invitation Report by Order Conversion Rate","Relatório de Convite por Taxa de Conversão de Ordem"
"Invitation Section","Seção de Convite"
"Invitation Url","Url de Convite"
"Invitation for %s has been sent.","Convite para %s foi enviado."
"Invitation has no ID.","Convite sem ID."
"Invitation not found.","Convite não encontrado."
"Invitation with status ""%s"" cannot be sent.","Convite com estado ""%s"" não pode ser enviado."
"Invitations","Convites"
"Invitations Accepted","Convites Aceites"
"Invitations Information","Informação de Convites"
"Invitations Sent","Convites Enviados"
"Invite your friends by entering their email addresses below","Convide seus amigos inserindo abaixo seus endereços de email"
"Invitee","Convidado"
"Invitee Group","Grupo de Convidados"
"Invitee Information","Informações de quem convidou"
"Inviter Information","Informação do Convidador"
"Last Name","Último nome"
"Link","Link"
"Manage Invitations","Gerenciar Convites"
"Max Invitations Allowed to be Sent at One Time","Número Máximo de Convites Permitidos para Envio Simultaneamente"
"Message","Mensagem"
"Message cannot be updated.","A mensagem não pode ser atualizada."
"My Invitations","Meus Convites"
"N/A","Indisponível"
"Name","Nome"
"New Accounts Registration","Novo Registro de Contas"
"New Invitations","Novos Convites"
"No customer group id specified.","ID do grupo de cliente não especificado."
"No invitations have been resent","Sem convites reenviados"
"Not Sent","Não Enviado"
"Order Conversion Rate","Taxa de Conversão de Pedido"
"Please enter valid email addresses, separated by new line.","Por favor digite endereços de email válidos, separados por uma nova linha."
"Please select invitations.","Por favor selecione convites."
"Please specify at least one email.","Por favor especifique pelo menos um email."
"Referred Customer Group","Grupo de Cliente Atribuído"
"Registered","Registrado"
"Reports","Relatórios"
"Same as Inviter","O mesmo que o Convidador"
"Save Invitation","Salvar Convite"
"Send At","Enviado em"
"Send From","Enviar De"
"Send Invitation","Enviar Convite"
"Send Invitations","Enviar Convites"
"Send Selected","Enviar Selecionados"
"Sent","Enviado"
"Sign Up At","Registro em"
"Signed Up At","Registrado em"
"Status","Status"
"Status History","Histórico de Status"
"Store View","Visualização da loja"
"The invitation has been saved.","O convite foi enviado"
"There are no sent invitations yet","Ainda não há convites enviado"
"This invitation is not valid.","Este convite não é válido."
"Unable to determine proper website.","Não foi possível localizar o site específico."
"Unable to generate encrypted code.","Impossível de gerar o código encriptado."
"Valid on Website","Válido no Site"
"Website","Website"
"Wrong store specified.","Armazenamento especificado incorreto."
"You cannot send more invitations","Você não pode enviar mais convites"
"Your invitation is not valid. Please contact us at %s.","Seu convite não é válido. Favor entrar em contato conosco na %s."
"Your invitation is not valid. Please create an account.","Seu convite não é válido. Por favor crie uma conta."
