"%s & applied","%s & aplicado"
"1","1"
"Access denied","Acesso negado"
"Action","Ação"
"Action Group","Grupo de Ação"
"Admin Actions Log","Log de Ações do Admin"
"Admin Actions Log Archive","Arquivo de Log das Ações do Admin"
"Admin Actions Log Archiving","Arquivamento de Log das Ações do Admin"
"Admin Actions Logging","Registro das Ações do Admin"
"Admin Actions Logs","Logs das Ações do Admin"
"Admin Logging","Conexões do Admin"
"Admin My Account","Admin Minha Conta"
"Admin Permission Roles","Admin Regras de Permissão"
"Admin Permission Users","Admin Permissão para Usuários"
"Admin Sign In","Iniciar Sessão do Admin"
"Admin User Data","Dados do Usuário Admin"
"Admin User ID","ID do Usuário Admin"
"Admin User Name","Nome do Usuário Admin"
"Aggregated Information","Informação Agregada"
"All Users","Todos os Usuários"
"Archive","Arquivo"
"Archive File","Arquivo Morto"
"Attributes Updated","Atributos Atualizados"
"Back","Voltar"
"CMS Blocks","Blocos do CMS"
"CMS Pages","Páginas CMS"
"CMS Polls","Pesquisas de CMS"
"Cache Management","Gerenciamento de Cache"
"Cache types: %s ","Tipos de cache: %s"
"Catalog Attribute Sets","Ajustes de Atributos de Catálogo"
"Catalog Attributes","Atributos do Catálogo"
"Catalog Categories","Categorias do Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Catalog Product Tax Classes","Classes de Taxa de Produto do Catálogo"
"Catalog Products","Produtos do Catálogo"
"Catalog Ratings","Avaliações dos Catálogos"
"Catalog Reviews","Revisões do Catálogo"
"Catalog Search","Busca de Catálogo"
"Catalog Tags","Tags de Catálogo"
"Checkout Terms and Conditions","Verificação dos Termos e Condições"
"Currency Rates Saved","Taxas de Câmbio Salvo."
"Custom Variables","Variáveis de Personalização."
"Customer Groups","Grupos do cliente"
"Customer Tax Classes","Classes de Taxa do Cliente"
"Customers","Clientes"
"Daily","Diário"
"Date","Data"
"Enabled Actions","Ações Habilitadas"
"Error Message","Mensagem de Erro"
"Failure","Falha"
"Full Action Name","Nome Completo da Ação"
"Full Details","Detalhes Completos"
"Google Base","Google Base"
"Google Sitemap","Google Sitemap"
"IP Address","Endereço de IP"
"IP-Address","Endereço IP"
"Import/Export Profiles","Importar/Exportar Perfis"
"Index Management","Gerenciamento de Índice"
"Item was deleted","Item excluído"
"Log Archiving Frequency","Frequência de Arquivamento de Registro"
"Log Entry #%d","Entrada de Registro #%d"
"Log Entry Details","Detalhes da Entrada de Registro"
"Log Entry Lifetime, Days","Duração da Entrada de Registro, Dias"
"Logging","Registrando"
"Manage Currency Rates","Gerenciar Taxas de Câmbio"
"Manage Design","Gerenciar Design"
"Manage Store Views","Gerenciar Visualizações de Loja"
"Manage Stores","Gerenciar Lojas"
"Manage Websites","Gerenciar Websites"
"Monthly","Mensal"
"N/A","Indisponível"
"New","Novo"
"Newsletter Queue","Fila do Boletim Informativo"
"Newsletter Subscribers","Assinantes do Boletim Informativo"
"Newsletter Templates","Modelos de Boletim Informativo"
"No changes","Sem alteração"
"PayPal Settlement Reports","Relatórios de Pagamento PayPal"
"Recurring Profiles","Perfis Recorrentes"
"Related Changes","Alterações Relacionadas"
"Report","Relatório"
"Reports","Relatórios"
"Result","Resultado"
"Sales Creditmemos","Memorandos de Crédito de Vendas"
"Sales Invoices","Faturas de Vendas"
"Sales Order Status","Status do Pedido de Venda"
"Sales Orders","Pedidos de Venda"
"Sales Shipments","Remessas de Vendas"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Short Details","Resumo de Informações"
"Source Data","Dados Fonte"
"Success","Sucesso"
"System","Sistema"
"System Backups","Backups de Sistema"
"System Configuration","Configuração de Sistema"
"Tax Rates","Taxas de Impostos"
"Tax Rates Export","Taxas de Impostos Exportação"
"Tax Rates Import","Taxas de Impostos Importação"
"Tax Rules","Regras de Impostos"
"Time","Tempo"
"Transactional Emails","Emails de Transações"
"Urlrewrites","Reescrita de URL"
"User is locked","O usuário está bloqueado"
"Username","Nome do usuário"
"Value After Change","Valor antes da mudança"
"Value Before Change","Valor depois da mudança"
"View","Ver"
"View Entry","Ver entrada"
"Webservices API Roles","API de regras de serviço web"
"Webservices API Users","Usuários de API de serviço web"
"Weekly","Semanalmente"
"Widget Instances","Exemplos de Widget"
"X-Forwarded For","X-Forwarded-For"
