"* Required Fields","* Campos obrigatórios"
"Address","Endereço"
"Address Information","Informações de Endereço"
"Already registered?","Já está registado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rapidamente, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"Checkout as Guest","Checkout como Visitante"
"Checkout as a Guest","Checkout como um Visitante"
"Checkout as a Guest or Register","Checkout como um Visitante ou se Registe"
"City","Cidade"
"Company","Companhia"
"Confirm Password","Confirmar a senha"
"Continue","Continue"
"Country","País"
"Create an Account","Criar uma conta"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e estado"
"Email Address","Endereço de e-mail"
"Fast and easy check out","Checkout rápido e fácil"
"Fax","Fax"
"Forgot Your Password?","Esqueceu a senha?"
"Forgot your password?","Esqueceu sua senha?"
"If you have an account with us, log in using your email address.","Caso tenha alguma conta conosco, conecte-se utilizando seu endereço de e-mail."
"Loading next step...","Carregando próximo passo..."
"Login","Conectar-se"
"Login Information","Informações de login"
"Login or Create an Account","Conectar-se ou criar conta"
"New Customers","Novos clientes"
"Password","Senha"
"Persist Comparison History","Histórico de Comparação da Persist"
"Persist Currently Compared Products","Produtos Atualmente Comparados da Persist"
"Persist Customer Group Membership and Segmentation","Divisão e Afiliação do Grupo de Clientes da Persist"
"Persist Recently Ordered Items","Itens Recentemente Encomendados na Persist"
"Persist Recently Viewed Products","Produtos da Persist Vistos Recentemente"
"Persist Wishlist","Lista de Desejos"
"Personal Information","Informações pessoais"
"Please log in below:","Por favor, faça o login abaixo:"
"Please select region, state or province","Selecione a região, estado ou província"
"Register","Registrar"
"Register and save time!","Cadastre-se e poupe tempo!"
"Register to Create an Account","Cadastre-se para Criar uma Conta"
"Register with us for future convenience:","Faça um cadastro conosco para ter comodidade no futuro:"
"Registered Customers","Clientes cadastrados"
"Save in address book","Salvar no catálogo de endereços"
"Select State/Province...","Selecione Estado/Província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança de seu catálogo de endereços ou insira um novo endereço"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Sign Up for Newsletter","Assinar o boletim informativo"
"State/Province","Estado/Província"
"Street Address","Endereço da rua"
"Submit","Enviar"
"Telephone","Telefone"
"Zip/Postal Code","Zip/Código Postal"
