"-- Not Selected --","-- Não selecionado --"
"Active","Ativo"
"Active From","Ativo de"
"Active To","Ativo para"
"Add New Rule","Adicionar nova regra"
"Are you sure you want to match this rule now?","Tem certeza que deseja"
"Automated Email Marketing Reminder Rules","Regras de lembrete automático de e-mail de marketing"
"Automated Email Reminder Rules","Regras de lembrete de e-mail automático"
"Cart Line Items","Lista de itens carrinho de compras"
"Conditions","Condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Coupon Usage Limit","Limite de utilização do cupom"
"Coupon Usage per Customer","Utilização do cupom por cliente"
"Coupons can be auto-generated by reminder promotion rules.","Os cupons podem ser gerados automaticamente pelas regras de lembrete de promoção."
"Default Titles and Description","Títulos e descrição padrão"
"Delete","Excluir"
"Description","Descrição"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ""s%"""
"Email","E-mail"
"Email Reminder Rule","Regra de lembrete de e-mail"
"Email Send Failure Threshold","Entrada de erro de envio de e-mail"
"Email Templates","Modelos de e-mail"
"Emails Failed","Erros de e-mail"
"Emails Sent","Emails Enviados"
"Emails and Labels","Emails e Etiquetas"
"Emails will be sent only for specified store views. Email store view matches the store view customer was registered on.","Emails serão enviados somente para vistas de loja especificadas. Email de vista de loja corresponde à vista de loja do cliente em que foi registrado."
"Empty value disables this limitation. If not limited, the reminder emails may stuck sending over and over.","Valor vazio desativa esta limitação. Se não limitado, os emails lembrete podem ficar presos enviando mais e mais."
"Enable Reminder Emails","Ativar Emails Lembrete"
"Failed to delete reminder rule.","Falha ao excluir regra lembrete."
"Failed to save reminder rule.","Falha ao salvar regra lembrete."
"Frequency","Freqüência"
"General Information","Informações gerais"
"ID","Identidade"
"In what number of days to repeat reminder email, if the rule condition still matches. Enter days, comma-separated.","Em que número de dias se deve repetir email lembrete, se a condição de regra ainda corresponde. Insira dias, separados por vírgulas."
"Inactive","Inativo"
"Interval","Intervalo"
"Items Quantity","Quantidade de Itens"
"Items Subselection","Subseleção de Itens"
"Last Sent At","Enviado Pela Última Vez Em"
"Matched At","Correspondido Em"
"Matched Customers","Clientes Correspondidos"
"Maximum Emails per One Run","Emails Máximos por Uma Execução"
"Minute of the Hour","Minutos da Hora"
"N/A","Indisponível"
"New Rule","Nova Regra"
"No","Não"
"Number of Items","Número de Itens"
"Numeric Attribute","Atributo Numérico"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Substitui títulos e descrições padrão. Note que se um modelo de e-mail não é especificado para esta vista da loja, os respectivos valores variáveis ​​serão apagados."
"Please, specify correct minutes of hour.","Por favor, especifique minutos corretos da hora."
"Product %s","Produto %s"
"Product Attributes","Atributos do produto"
"Promo Section","Seção Promo"
"Promotion rule this reminder will advertise.","Regra de promoção que este lembrete irá anunciar."
"Promotions","Promoções"
"Reminder Email Sender","Lembrete do Email do Remetente"
"Reminder Rules","Lembrete das Regras"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","E-mails lembrete podem promover uma regra de preço de carrinho de compras com ou sem cupom. Se uma regra de preço de carrinho de compras define um cupom gerado automaticamente, esta regra lembrete irá gerar um código aleatório de cupom para cada cliente."
"Reminder rule matching error.","Lembrete de regra de erro na correspondência."
"Repeat Schedule","Repetir Horário"
"Root shopping cart condition should have days value at least 0.","Condição raíz de carrinho de compras deve ter dias valor de pelo menos 0."
"Root wishlist condition should have days value at least 1.","Condição raíz na lista de desejos deve ter dias valor de pelo menos 1."
"Rule Description for All Store Views","Descrição da Regra para Todas as Visualizações da Loja"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule Reminder","Lembrete da Regra"
"Rule Title for All Store Views","Título da Regra para Todas as Visualizações da Loja"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Rótulo de regras e descrições são acessíveis em modelos de email como variáveis, podem ser definidas por visualização da loja."
"Rule will work only if at least one condition is specified.","Regra só funcionará se pelo menos uma condição for especificada."
"Run Now","Executar Agora"
"SKU","Unidade de Manutenção de Estoque"
"Save","Salvar"
"Save and Continue Edit","Salvar e continuar a editar"
"Set this value not less than your cron.php launch period.","Defina este valor como não inferior ao seu período de lançamento cron.php."
"Sharing","Compartilhando"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Start Time","Tempo de Início"
"Status","Status"
"Store View","Visualização da loja"
"The reminder rule has been deleted.","A regra lembrete foi eliminada."
"The reminder rule has been matched.","A regra lembrete foi correspondida."
"The reminder rule has been saved.","A regra lembrete foi salva."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Esta regra é atribuída a %s regra(s) lembrete automatizada(s). Apagando esta regra ela será automaticamente desatribuída."
"Thread Active","Segmento Ativo"
"Titles and Descriptions Per Store View","Títulos e Descrições Por Visão de Loja"
"Total Amount","Valor Total"
"Unknown attribute specified","Atributo desconhecido especificado"
"Unknown operator specified.","O operador especificado não é conhecido."
"Unknown quote total specified","Total de citações desconhecidas especificado"
"Up to %s customers may receive reminder email after this action.","Até %s clientes podem receber emails de lembrete após esta ação."
"Valid range: 0-59 (default 0).","Intervalo válido: 0-59 (por defeito 0)."
"Virtual Only","Apenas Virtual"
"Website","Website"
"Wishlist","Lista de presentes"
"Wrong reminder rule requested.","Regra lembrete solicitada errada."
"Yes","Sim"
"base cost","custo base"
"base price","preço base"
"does not have","não tem"
"found","encontrado"
"grand total","total geral"
"has","tem"
"is","é"
"is not","não é"
"not found","não encontrado"
"quantity","quantidade"
"row weight","peso da fileira"
"subtotal","subtotal"
"weight","peso"
