"""Cap Reward Points Balance"" should be positive number or empty.","""Balanço de Pontos de Recompensa Cap"" deve ser número positivo ou vazio."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Balanço de Pontos Mínimo de Recompensa"" deve ser menor ou igual a ""Balanço de Pontos de Recompensa Cap""."
"""Minimum Reward Points Balance"" should be positive number or empty.","""Balanço de Pontos Mínimo de Recompensa"" deve ser número positivo ou vazio."
"%s reward points","%s pontos de recompensa"
"%s reward points (%s)","%s pontos de recompensa (%s)"
"Actions for Acquiring Reward Points by Customers","Ações para a Aquisição de Pontos de Recompensa por Clientes"
"Add New Rate","Adicionar Nova Taxa"
"Add Reward Points","Adicionar Pontos de Recompensa"
"Added for spent money according to reward exchange rates.","Adicionado por dinheiro gasto de acordo com as taxas de câmbio de recompensa."
"After approval by administrator.","Após aprovação pelo administrador."
"All Customer Groups","Todos os Grupos de Clientes"
"All Websites","Todos os sites"
"Amount","Valor"
"Amount Balance","Balanço de Quantidade"
"Applies only to registered customers, may vary when logged in.","Aplica-se apenas aos clientes registados, pode variar quando ligado."
"Balance","Saldo"
"Balance History","Histórico do saldo"
"Balance Update Email","Email da Atualização do Balanço"
"Balance is capped at %s.","O balanço é limitado a %s."
"Balance limitations:","Limitações do balanço:"
"Can Spend Reward Points","Pode Gastar Pontos de Recompensa"
"Cannot save Rate.","Não é possível salvar Taxa."
"Cap Reward Points Balance At","Balanço de Pontos de Recompensa Cap Em"
"Checkout now and earn %s for this order.","Finalize agora e ganhe %s por esta ordem."
"Comment","Comentário"
"Converting Invitation to Customer","Convertendo Convite para o Cliente"
"Converting Invitation to Order","Convertendo Convite para Ordem"
"Created At","Criada Em"
"Currency Amount","Valor da Moeda"
"Currency to Points","Moeda para Pontos"
"Current exchange rates:","Atuais taxas de câmbio:"
"Customer Group","Grupo de Clientes"
"Customer earned %s for the order.","Cliente ganhou %s para a ordem."
"Customer earned promotion extra %s.","Cliente ganhou promoção extra %s."
"Customers","Clientes"
"Customers May See Reward Points History","Clientes Podem Ver História dos Pontos de Recompensa"
"Date","Data"
"Delete Orphan Points","Apagar Pontos Órfãos"
"Direction","Direção"
"Dynamic","Dinâmico"
"Each","Cada"
"Each %s can be redeemed for %s.","Cada %s pode ser trocado por %s."
"Each %s spent will earn %s.","Cada %s gasto ganhará %s."
"Each earned reward points record expires in %s days.","Cada ponto de recompensa ganho gravado expira em %s dias."
"Earn %s for purchases by your invitees.","Ganhe %s para compras por seus convidados."
"Earned points for order #%s.","Pontos ganhos pela ordem #%s."
"Earned promotion extra points from order #%s.","Ganhou pontos extras de promoção da ordem #%s."
"Edit Reward Exchange Rate","Editar Taxa de Câmbio Recompensa"
"Email Notification Settings","Configurações de Notificação de Email"
"Email Sender","Remetente do e-mail:"
"Empty value disables this limitation.","Valor vazio desativa esta limitação."
"Empty value or value greater than expiration lifetime disables warning notification.","Valor vazio ou valor superior que a vida útil de validade desativa notificação de aviso."
"Enable Reward Points Functionality","Habilitar a Funcionalidade de Pontos de Recompensa"
"Enable Reward Points Functionality on Frontend","Habilitar a Funcionalidade de Pontos de Recompensa no Frontend"
"Enter a negative number to subtract from balance.","Inserir um número negativo para subtrair do saldo."
"Expired reward.","Recompensa Expirada."
"Expires At","Expira Em"
"Expires on %s","Expira em %s"
"Expiry Warning Before (days)","Aviso de Validade (dias) Antes"
"Failed to unsubscribe.","Falha ao cancelar."
"First","Primeiro"
"For submitting a product review.","Por apresentar uma revisão do produto."
"For submitting tag (%s).","Por apresentar marca (%s)."
"Given action ID has to be an integer value.","ID de determinada ação tem que ser um valor inteiro."
"ID","Identidade"
"Invitation Conversion to Order Reward","Conversão de Convite para Ordem Recompensa"
