"""%s"" exceeds the allowed length.","""%s"" excede o tamanho permitido."
"""%s"" invalid type entered.","tipo ""%s"" inválido entrou."
"""%s"" is not a valid email address.","""%s"" não é um endereço de e-mail válido."
"""%s"" is not a valid hostname.","""%s"" não é um nome de alojamento válido."
"#","#"
"%s RMA (s) have been closed.","%s ADM(s) foi(ram) fechada(s)."
"%s RMA(s) cannot be closed","%s ADM(s) não pode(m) ser fechada(s)."
"%s for item %s cannot be empty.","%s para o item %s não pode estar vazia."
"About This Order:","Sobre Este Pedido:"
"Action","Ação"
"Add","Adicionar"
"Add Details","Adicionar detalhes"
"Add Item To Return","Adicionar item a ser retornado"
"Add New Attribute","Adicionar Novo Atributo"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to RMA","Adicionar produto(s) selecionado(s) para ADM"
"All Items","Todos os itens"
"An error occurred while deleting the RMA item attribute.","Erro ao excluir o atributo do item na ADM."
"An error occurred while saving the RMA item attribute.","Erro ao salvar o atributo do item na ADM."
"Answers","Respostas"
"Approved","Aprovado"
"Approved Qty","Quantidade aprovada"
"Are you sure you want to cancel this RMA?","Tem certeza que deseja cancelar esta ADM?"
"Are you sure you want to delete this tracking information?","Tem certeza que deseja excluir as informações de rastreamento?"
"Attribute Information","Informação do Atributo"
"Attribute is no longer exists.","Atributo não existe mais."
"Attribute with the same code already exists","Atributo com o mesmo código já existe"
"Authorized","Autorizada"
"Authorized Qty","Quantidade autorizada"
"Back","Voltar"
"Cancel","Cancelar"
"Cannot add RMA history.","Não é possível adicionar histórico ADM."
"Cannot add label.","Não é possível adicionar etiqueta."
"Cannot add message.","Não é possível adicionar mensagem."
"Cannot add tracking number.","Não é possível adicionar número de rastreamento."
"Cannot create New Return, try again later","Não é possível criar Novo Retorno, tente novamente mais tarde"
"Cannot create rma for order #%s.","Não é possível criar ADM do pedido #%s."
"Cannot delete label.","Não é possível apagar a etiqueta."
"Cannot delete tracking number.","Não é possível apagar o número de rastreamento."
"Cannot display available shipping methods.","Não é possível apresentar métodos de transporte disponíveis."
"Cannot display item attributes.","Não é possível exibir os atributos do item."
"Cannot get product list.","Não é possível obter lista de produtos."
"Cannot initialize rma for adding tracking number.","Não é possível inicializar ADM para adicionar número de rastreamento."
"Cannot initialize rma for delete tracking number.","Não é possível inicializar ADM para apagar o número de rastreamento."
"Cannot load track with retrieving identifier.","Não é possível carregar pista com identificador de recuperação."
"Carrier","Portador"
"City","Cidade"
"Click to change shipping method","Clique para alterar método de remessa"
"Close","Fechar"
"Close Window","Fechar Janela"
"Closed","Fechar"
"Comma separated","Separado por vírgula"
"Comma-separated.","Separados por vírgula."
"Comment Text","Texto do comentário"
"Comments","Comentários"
"Condition","Estado"
"Contact Email Address","Contatar Endereço de Email"
"Contact Name","Nome de Contato"
"Country","País"
"Create New RMA","Criar Novo RMA"
"Create New RMA for %s","Criar Novo RMA para %s"
"Create New RMA for %s in %s","Criar Novo RMA para %s em %s"
"Create New Return","Criar Novo Retorno"
"Create RMA","Criar RMA"
"Create Shipping Label","Criar Rótulo de Frete"
"Customer","Cliente"
"Customer My Account Order Returns View","Análise de Retornos de Pedido da Minha Conta do Cliente"
"Customer My Account Return View","Análise do Retorno da Minha Conta do Cliente"
"Customer My Return Create","Criar Meu Retorno do Cliente"
"Customer My Returns History","Histórico dos Meus Retornos do Cliente"
"Customer Name","Nome do Cliente"
"Customer Service","Atendimento ao Cliente"
"Customs Value","Valores Aduaneiros"
"Date","Data"
"Date Requested","Dados solicitados"
"Delete","Excluir"
"Delete Attribute","Apagar atributo"
"Delete Line","Excluir linha"
"Denied","Negado"
"Details","Detalhes"
"Dropdown","Menu suspenso"
