"(Staging Copy)","(Cópia de Teste)"
"Accessible","Acessível"
"Action","Ação"
"Action Before Resetting","Ação Antes de Redefinir"
"Add","Adicionar"
"Add Staging Website","Adicionar Site de Teste"
"Add new store view map","Adicionar novo mapa de visão da loja"
"All automatically created entry points will reside in this folder. The folder should be writeable.","Todos os pontos de entrada criados automaticamente irão residir nesta pasta. A pasta deve ser gravável."
"All backup items are outdated. The backup is read-only.","Todos os itens de backup estão desatualizados. O backup é somente de leitura."
"An error occurred while adding products that must be unlinked on merge with staging website.","Ocorreu um erro ao adicionar produtos que devem ser desvinculados durante a fusão com o site de teste."
"An error occurred while merging. Please review log and try again.","Ocorreu um erro durante a fusão. Por favor analise o registro e tente novamente."
"An error occurred while performing rollback. Please review the log and try again.","Ocorreu um erro durante a execução da reversão. Por favor analise o registro e tente novamente."
"An error occurred while removing products that must be unlinked on merge with staging website.","Ocorreu um erro ao remover os produtos que devem ser desvinculados durante a fusão com o site de teste."
"An error occurred while saving staging data. Please review log and try again.","Ocorreu um erro ao salvar os dados de teste. Por favor analise o registro e tente novamente."
"An error occurred while validating data. Please review the log and try again.","Ocorreu um erro ao validar dados. Por favor analise o registro e tente novamente."
"An exception occurred while performing an SQL query: %s. ","Ocorreu uma exceção ao executar uma consulta SQL: %s."
"An exception occurred while performing an SQL query: %s. Query: %s","Ocorreu uma exceção ao executar uma consulta SQL: %s. Consulta: %s"
"Are you sure you want to do this?","Tem certeza de que quer fazer isso?"
"Are you sure?","Tem certeza?"
"Automatically Create Entry Points for Staging Websites","Criar Automaticamente Pontos de Entrada para Sites de Teste"
"Back","Voltar"
"Backup","Backup"
"Backup General Info","Backup de Informações Gerais"
"Backup Main Information","Backup de Informação Principal"
"Backup Name","Nome do Backup"
"Backup version: ","Versão cópia de segurança:"
"Backups","Cópias de segurança"
"Base URL","URL Base"
"Before creating a staging website, please make sure that the base URLs of the source website are properly defined.","Antes de criar um site de teste, certifique-se que os URL base do site de origem estão adequadamente definidos."
"Bundles","Pacotes"
"CMS Blocks","Blocos do CMS"
"CMS Pages","Páginas CMS"
"Cannot perform create operation because reindexing process or another staging operation is running.","Não é possível executar a operação de criação porque o processo de reindexação ou outra operação de teste está sendo executada."
"Cannot perform rollback operation because reindexing process or another staging operation is running.","Não é possível executar operação de reversão porque o processo de reindexação ou outra operação de teste está sendo executada."
"Cannot perform the create operation because reindexing process or another staging operation is running.","Não é possível executar operação de criação porque o processo de reindexação ou outra operação de teste está sendo executada."
"Cannot perform the merge operation because reindexing process or another staging operation is running.","Não é possível executar operação de fusão porque o processo de reindexação ou outra operação de teste está sendo executada."
"Cannot run the staging website.","Não é possível executar o site de teste."
"Catalog Categories","Categorias do Catálogo"
"Catalog Inventory","Inventário de Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Catalog Search","Busca de Catálogo"
"Choose Store View","Escolha Ver Loja"
"Close Entire Frontend","Fechar Todo Frontend"
"Close Website During Merge or Rollback","Fechar Site Durante Fusão ou Reversão"
"Close only relevant websites","Fechar apenas sites relevantes"
"Completed","Concluído"
"Content","Conteúdo"
"Content Staging","Conteúdo de Teste"
"Continue","Continue"
"Could not remove the backup: #%s","Não foi possível remover a cópia de segurança: #%s"
"Create","Criar"
"Create New Staging Store View","Criar nova visualização de apresentação de loja"
"Create New Staging Website","Criar novo site de apresentação"
"Create a backup","Criar um backup"
"Created At","Criada Em"
"Created Date","Dados criados"
"Current: ","Atual:"
"Customers","Clientes"
"Delete","Excluir"
"Details","Detalhes"
"Downloadable","Que podem ser baixados"
"Edit","Editar"
"Entry point will be built using the staging website code.","O ponto de entrada será construido utilizando o código de apresentação do site."
"Export to:","Exportar para:"
"Failed to unschedule merge.","Erro ao desprogramar a integração"
"Folder Name for Entry Points","Nome da pasta para pontos de entrada"
"From","De"
