"Access denied.","访问被拒绝"
"Action","操作"
"Add Products","添加产品"
"Add Selected Product(s) to Shopping Cart","添加所选产品到购物车"
"An error has occurred. See error log for details.","发生了错误。详情请参考错误日志。"
"Apply","应用"
"Apply Coupon Code","应用折价券"
"Cancel","取消"
"Choose some products to add to shopping cart.","选择要加入购物车的商品。"
"Coupon code ""%s"" is not valid","优惠券代码 ""%s"" 无效"
"Customer not found","客户未找到"
"Customers","客户"
"Discount","折扣"
"Excl. Tax","不含税"
"Failed to add a product of order item","添加产品到订单时失败"
"Failed to reorder item","重新下单失败"
"ID","ID"
"Incl. Tax","含税"
"Invalid block: %s.","无效的块： %s。"
"Last ordered items (%s)","上一个下单的产品(%s)"
"Manage Customers","管理客户"
"Manage Shopping Cart","管理购物车"
"Move to Wishlist","移动到愿望清单"
"No ordered items","无订单项"
"Ordered item id is not received.","订单项编号无法接受。"
"Ordered item is not loaded.","订单项未被加载。"
"Price","价格"
"Product","产品"
"Product Name","产品名"
"Product name","产品名"
"Products","产品"
"Products in the Comparison List (%s)","对比列表中的产品（%s）"
"Qty","数量"
"Qty To Add","添加的数量"
"Quote item id is not received.","报价项编号无法接受。"
"Quote item is not loaded.","报价项未被加载。"
"Recently Compared Products (%s)","最近对比的产品（%s）"
"Recently Viewed Products (%s)","最近查看的产品（%s）"
"Remove","删除"
"Remove Coupon Code","删除折价券"
"Row Subtotal","行小计"
"SKU","SKU"
"Shopping Cart","购物车"
"Shopping Cart Items","购物车项目"
"Shopping Cart Management","购物车管理"
"Shopping Cart for %s in %s","%s 中  %s 的购物车"
"Shopping cart management disabled for this customer.","该顾客的购物车管理功能被禁用。"
"Store not found.","未找到店铺。"
"Subtotal","消极"
"Subtotal:","小计："
"Total","总数"
"Total %d product(s)","总共%d个产品"
"Total incl. tax","总价含税"
"Update Items and Qty's","更新项目和数量"
"View Shopping Cart","查看购物车"
"View and modify Shopping Cart","查看并修改购物车"
"Wishlist (%s)","愿望清单 (%s)"
"Wishlist item id is not received.","愿望清单项编号无法接受。"
"Wishlist item is not loaded.","愿望清单项编号未被加载。"
