"Alpha Only","仅字母"
"Alphanumeric","字母表"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性代码无效。在该字段中请只使用字母（a-z）、数字（0-9），或下划线（_），第一个字符必须是字母。"
"Current module XML block name is undefined","当前模块XML块名称未定义"
"Current module form model pathname is undefined","模块参数中的当前模块未定义"
"Date","日期"
"Default EAV Form","默认EAV表单"
"Dropdown","下拉菜单"
"Email","电子邮件"
"Escape HTML Entities","退出HTML项"
"File (attachment)","文件（附件）"
"Image File","图像文件"
"Multiple Line","多行"
"Multiple Select","多选"
"No","否"
"Normalize Date","常规日期"
"Numeric Only","仅数字"
"Strip HTML Tags","去除HTML标签"
"Text Area","文本区"
"Text Field","文本字段"
"URL","URL"
"Use helper with defined EAV entity","使用包含已定义 EAV 实体的助手"
"Yes","是"
"Yes/No","是/否"
"[GLOBAL]","[全局]"
"[STORE VIEW]","[店铺视图]"
"[WEBSITE]","[网站]"
