"%1$d of %2$d invitations were discarded.","%1$d 共 %2$d 个邀请被舍弃。"
"%1$d of %2$d invitations were sent.","%1$d 共 %2$d个邀请已发送。"
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d个邀请无法发送，因为他们的邮件地址已注册为客户。这些邀请将被舍弃。"
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d个邀请未发送，因为所指定邮件地址已经被注册为客户。"
"%d invitation(s) were sent.","%d个邀请已发送。"
"%d of selected invitation(s) were skipped.","%d个所选邀请已跳过。"
"* Required Fields","*必要字段"
"Acceptance Rate","接纳率"
"Accepted","已接受"
"Accepted and Purchased","已接受并购买"
"Add Invitations","添加邀请"
"Admin","管理员"
"Allow Customers to Add Custom Message to Invitation Email","允许客户将自定义信息添加到邀请邮件"
"Are you sure you want to discard this invitation?","您是否确认要舍弃这些邀请？"
"Are you sure you want to do this?","您是否确认要这样做？"
"Available to All","全部可用"
"Back","返回"
"Back to Invitations","返回邀请"
"By Invitation Only","仅通过邀请"
"CSV","CSV"
"Conversion Rate","转换率"
"Customer Account Registration by Invitation Form","客户帐户注册邀请表单"
"Customer Group","客户组"
"Customer ID","客户ID"
"Customer Invitation","客户邀请"
"Customer Invitation Email Sender","客户邀请邮件发送人"
"Customer Invitation Email Template","客户邀请邮件模板"
"Customer Invitations","客户邀请"
"Customer My Account Invitations Form","客户我的帐户邀请表单"
"Customer My Account Invitations List","客户我的帐户邀请列表"
"Customer with email ""%s"" already exists.","使用 ""%s"" 作为邮件地址的客户已存在。"
"Customers","客户"
"Default Customer Group from System Configuration","系统配置中的默认客户组"
"Default from System Configuration","系统配置中的默认值"
"Discard Invitation","舍弃的邀请"
"Discard Rate","舍弃率"
"Discard Selected","舍弃所选"
"Discarded","已舍弃"
"Email","电子邮件"
"Email is not specified.","邮件未指定。"
"Enable Invitations Functionality","启用邀请功能"
"Enable Invitations on Frontend","在前端启用邀请"
"Enter Each Email on New Line","每个邮件地址另起一行"
"Excel XML","Excel XML"
"Failed to send %1$d of %2$d invitation(s).","无法发送 %1$d 个共 %2$d 个邀请。"
"Failed to send %d invitation(s).","无法发送 %d 个邀请。"
"Failed to send email to %s.","无法发送邮件给 %s。"
"First Name","名字"
"General","常规"
"General Report","常规报告"
"Group","分组"
"ID","ID"
"Invalid invitation code.","无效的邀请代码。"
"Invalid invitation email.","无效的邀请邮件。"
"Invalid or empty invitation email.","无效或空的邀请邮件。"
"Invalid value used for ""%s"" parameter. Previous value saved.","""%s"" 参数使用的值无效。上一个值已被保存。"
"Invitation Form Before","邀请表单，先于"
"Invitation Information","邀请信息"
"Invitation List Before","邀请列表，先于"
"Invitation Message","邀请内容"
"Invitation Report by Customers","客户的邀请报告"
"Invitation Report by Order Conversion Rate","订单转换率的邀请报告"
"Invitation Section","邀请片段"
"Invitation Url","邀请Url"
"Invitation for %s has been sent.","针对 %s 的邀请已发送。"
"Invitation has no ID.","邀请无ID。"
"Invitation not found.","邀请未找到。"
"Invitation with status ""%s"" cannot be sent.","状态为 ""%s"" 的邀请无法发送。"
"Invitations","邀请"
"Invitations Accepted","邀请已接受"
"Invitations Information","邀请信息"
"Invitations Sent","邀请已发送"
"Invite your friends by entering their email addresses below","在下面输入朋友的邮件地址即可邀请对方"
"Invitee","邀请者"
"Invitee Group","邀请组"
"Invitee Information","邀请信息"
"Inviter Information","邀请人信息"
"Last Name","姓氏"
"Link","链接"
"Manage Invitations","管理邀请"
"Max Invitations Allowed to be Sent at One Time","一次最多允许发送的邀请数量"
"Message","信息"
"Message cannot be updated.","信息无法更新。"
"My Invitations","我的邀请"
"N/A","N/A"
"Name","姓名"
"New Accounts Registration","新帐户邀请"
"New Invitations","新邀请"
"No customer group id specified.","未指定客户组编号。"
"No invitations have been resent","未重发邀请。"
"Not Sent","未发送"
"Order Conversion Rate","早先的转换率"
"Please enter valid email addresses, separated by new line.","请输入有效邮件地址，每个地址另起一行。"
"Please select invitations.","请选择邀请。"
"Please specify at least one email.","请指定至少一个邮件地址。"
"Referred Customer Group","推荐的客户组"
"Registered","已注册"
"Reports","报告"
"Same as Inviter","与邀请人相同"
"Save Invitation","保存邀请"
"Send At","发送于"
"Send From","发送自"
"Send Invitation","发送邀请"
"Send Invitations","发送邀请"
"Send Selected","发送所选"
"Sent","已发送"
"Sign Up At","注册于"
"Signed Up At","注册于"
"Status","状态"
"Status History","状态历史"
"Store View","店铺视图"
"The invitation has been saved.","该邀请已保存。"
"There are no sent invitations yet","尚未发送邀请。"
"This invitation is not valid.","该邀请无效。"
"Unable to determine proper website.","无法确定恰当的网站。"
"Unable to generate encrypted code.","无法生成加密代码。"
"Valid on Website","网站有效"
"Website","网站"
"Wrong store specified.","指定的店铺有误。"
"You cannot send more invitations","您无法发送更多邀请"
"Your invitation is not valid. Please contact us at %s.","您的邀请无效，请联系我们 %s。"
"Your invitation is not valid. Please create an account.","您的邀请无效，请创建帐户。"
