"%s & applied","%s 并应用"
"1","1"
"Access denied","访问被拒绝"
"Action","操作"
"Action Group","操作组"
"Admin Actions Log","管理操作日志"
"Admin Actions Log Archive","管理操作日志存档"
"Admin Actions Log Archiving","管理操作日志正在存档"
"Admin Actions Logging","管理操作正在记录"
"Admin Actions Logs","管理操作日志"
"Admin Logging","管理正在记录"
"Admin My Account","管理我的帐户"
"Admin Permission Roles","管理权限角色"
"Admin Permission Users","管理权限用户"
"Admin Sign In","管理登录"
"Admin User Data","管理用户数据"
"Admin User ID","管理用户ID"
"Admin User Name","管理用户姓名"
"Aggregated Information","已聚合信息"
"All Users","所有用户"
"Archive","存档"
"Archive File","存档文件"
"Attributes Updated","属性已更新"
"Back","返回"
"CMS Blocks","CMS块"
"CMS Pages","CMS页面"
"CMS Polls","CMS投票"
"Cache Management","缓存管理"
"Cache types: %s ","缓存类型：%s"
"Catalog Attribute Sets","分类属性集"
"Catalog Attributes","分类属性"
"Catalog Categories","分类属性"
"Catalog Price Rules","分类价格规则"
"Catalog Product Tax Classes","分类产品税率"
"Catalog Products","分类产品"
"Catalog Ratings","分类评级"
"Catalog Reviews","分类审查"
"Catalog Search","分类搜索"
"Catalog Tags","分类标签"
"Checkout Terms and Conditions","结账条款和情况"
"Currency Rates Saved","汇率已保存"
"Custom Variables","自定义变量"
"Customer Groups","客户组"
"Customer Tax Classes","客户税率"
"Customers","客户"
"Daily","每天"
"Date","日期"
"Enabled Actions","启用的操作"
"Error Message","错误信息"
"Failure","失败"
"Full Action Name","完整操作名称"
"Full Details","完整详情"
"Google Base","Google Base"
"Google Sitemap","Google Sitemap"
"IP Address","IP地址"
"IP-Address","IP-地址"
"Import/Export Profiles","导入/导出配置文件"
"Index Management","索引管理"
"Item was deleted","项目被删除"
"Log Archiving Frequency","日志存档频率"
"Log Entry #%d","日志项 # %d"
"Log Entry Details","日志项详情"
"Log Entry Lifetime, Days","日志项寿命，天"
"Logging","正在记录"
"Manage Currency Rates","管理汇率"
"Manage Design","管理设计"
"Manage Store Views","管理店铺视图"
"Manage Stores","管理店铺"
"Manage Websites","管理网站"
"Monthly","每月"
"N/A","N/A"
"New","新建"
"Newsletter Queue","新闻邮件队列"
"Newsletter Subscribers","新闻邮件订阅者"
"Newsletter Templates","新闻邮件模板"
"No changes","无变动"
"PayPal Settlement Reports","PayPal处理报告"
"Recurring Profiles","递归配置文件"
"Related Changes","相关变动"
"Report","报告"
"Reports","报告"
"Result","结果"
"Sales Creditmemos","销售记录"
"Sales Invoices","销售清单"
"Sales Order Status","销售订单状态"
"Sales Orders","销售订单"
"Sales Shipments","销售货运"
"Shopping Cart Price Rules","购物车价格规则"
"Short Details","简短详情"
"Source Data","源日期"
"Success","成功"
"System","系统"
"System Backups","系统备份"
"System Configuration","系统配置"
"Tax Rates","税率"
"Tax Rates Export","税率导出"
"Tax Rates Import","税率导入"
"Tax Rules","税务规则"
"Time","时间"
"Transactional Emails","交易邮件"
"Urlrewrites","URL 重写"
"User is locked","用户被锁定"
"Username","用户名"
"Value After Change","更改后的数值"
"Value Before Change","更改前的数值"
"View","查看"
"View Entry","查看条目"
"Webservices API Roles","Webservices API角色"
"Webservices API Users","网站服务 API 用户"
"Weekly","每周"
"Widget Instances","构件实例"
"X-Forwarded For","X-转发："
