"""Cap Reward Points Balance"" should be positive number or empty.","“Cap奖励点数余额” 应为正数或零。"
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","“最小奖励点数余额” 应小于或等于 “Cap奖励点数余额”。"
"""Minimum Reward Points Balance"" should be positive number or empty.","“最小奖励点数余额” 应为正数或零。"
"%s Reward points","%s 个奖励点"
"%s Reward points (%s)","%s 个奖励点（%s）"
"Actions for Acquiring Reward Points by Customers","客户获取奖励点的操作"
"Add New Rate","添加新比例"
"Add Reward Points","添加奖励点"
"Added for spent money according to reward exchange rates.","添加根据奖励比例可获得的额度。"
"After approval by administrator.","在管理员批准后。"
"All Customer Groups","所有客户组"
"All Websites","所有网站"
"Amount","数量"
"Amount Balance","额度"
"Applies only to registered customers, may vary when logged in.","仅适用于已注册客户，因此可能需要先登录。"
"Balance","余额"
"Balance History","余额历史"
"Balance Update Email","余额变动邮件"
"Balance is capped at %s.","余额被调整为 %s。"
"Balance limitations:","余额限制："
"Can Spend Reward Points","可以花费奖励点"
"Cannot save Rate.","无法保存比例。"
"Cap Reward Points Balance At","将奖励点余额调整为"
"Checkout now and earn %s for this order.","立刻结账通过本订单获取 %s。"
"Comment","评论"
"Converting Invitation to Customer","将邀请转换给客户"
"Converting Invitation to Order","将要求转换给订单"
"Created At","创建于"
"Currency Amount","当前数量"
"Currency to Points","货币到点数"
"Current exchange rates:","货币汇率："
"Customer Group","客户组"
"Customer earned %s for the order.","客户通过该订单挣取 %s。"
"Customer earned promotion extra %s.","客户通过促销获得额外的 %s。"
"Customers","客户"
"Customers May See Reward Points History","客户可以看到奖励点数历史"
"Date","日期"
"Delete Orphan Points","删除孤立的点数"
"Direction","方向"
"Dynamic","动态"
"Each","每个"
"Each %s can be redeemed for %s.","每个 %s 可兑换 %s。"
"Each %s spent will earn %s.","花费的每个 %s 可获得 %s。"
"Each earned reward points record expires in %s days.","获得的每个奖励点数记录都将于 %s 天后过期。"
"Earn %s for purchases by your invitees.","您的邀请者每次购买可挣得 %s 。"
"Earned points for order #%s.","通过订单 # %s获得的点数。"
"Earned promotion extra points from order #%s.","通过订单 # %s 获得的额外促销点数。"
"Edit Reward Exchange Rate","修改奖励比例。"
"Email Notification Settings","邮件通知设置"
"Email Sender","电子邮件发送人"
"Empty value disables this limitation.","空值将禁用该限制。"
"Empty value or value greater than expiration lifetime disables warning notification.","空置或超出过期寿命的值将禁用警告通知。"
"Enable Reward Points Functionality","启用奖励点数功能"
"Enable Reward Points Functionality on Frontend","在前端启用奖励点数功能"
"Enter a negative number to subtract from balance.","输入从余额中减去的正数。"
"Expired reward.","过期点数。"
"Expires At","过期于"
"Expires on %s","过期于 %s"
"Expiry Warning Before (days)","过期前警告天数"
"Failed to unsubscribe.","退订失败。"
"First","首先"
"For submitting a product review.","可提交产品评测。"
"For submitting tag (%s).","可提交标签（%s）。"
"Given action ID has to be an integer value.","指定的操作ID必须为整数值。"
"ID","ID"
"Invitation Conversion to Order Reward","邀请转换为订单奖励"
"Invitation to %s converted into a customer.","到 %s的邀请转换为顾客。"
"Invitation to %s converted into an order.","到 %s的邀请转换为订单。"
"Invitation to Customer Conversions Quantity Limit","到顾客的邀请转换为数量限制"
"Invitation to Order Conversions Quantity Limit","到订单的邀请转换为数量限制"
"Landing Page","加载页"
"Learn more...","详细了解..."
"Log in now and earn %s for this order.","立刻登录并通过本订单赚取 %s。"
"Manage Reward Exchange Rates","管理奖励比例"
"Manage Reward Points Balances","管理奖励点数余额"
